"#Spell Number","Spell Name","Type: 255 Enemies, 2 Spells, 1 Skills, 0 Systems","Consumption","Description",,
0,"<story>Catfish \"See? The World is Shaking!\"",255,3500,,3600,
1,"<story>Catfish \"See? The World is Shaking!\"",255,4000,,3600,
2,"<story>Catfish \"See? The World is Shaking!\"",255,4500,,3600,
3,"<story>Catfish \"See? The World is Shaking!\"",255,5000,,3600,
4,"<story>Catfish \"The Earth Liquefies into Mud!\"",255,3500,,3600,
5,"<story>Catfish \"The Earth Liquefies into Mud!\"",255,4000,,3600,
6,"<story>Catfish \"The Earth Liquefies into Mud!\"",255,4500,,3600,
7,"<story>Catfish \"The Earth Liquefies into Mud!\"",255,5000,,3600,
8,"<story>Catfish \"I'm Charging Up?\"",255,3500,,3600,
9,"<story>Catfish \"I'm Charging Up?\"",255,4000,,3600,
10,"<story>Catfish \"I'm Charging Up?\"",255,4500,,3600,
11,"<story>Catfish \"I'm Charging Up?\"",255,5000,,3600,
12,"<story>Catfish \"All-Electrical for Ecology!\"",255,3500,,3600,
13,"<story>Catfish \"All-Electrical for Ecology!\"",255,4000,,3600,
14,"<story>Catfish \"All-Electrical for Ecology!\"",255,4500,,3600,
15,"<story>Catfish \"All-Electrical for Ecology!\"",255,5000,,3600,
16,"<story>Great Catfish \"With This Ends the Fleeting World!\"",255,3500,,0,
17,"<story>Great Catfish \"With This Ends the Fleeting World!\"",255,4000,,0,
18,"<story>Great Catfish \"With This Ends the Fleeting World!\"",255,4500,,0,
19,"<story>Great Catfish \"With This Ends the Fleeting World!\"",255,5000,,0,
248,"003 EASY",255,5000,,3600,
249,"003 NORMAL",255,5500,,3600,
250,"003 HARD",255,6000,,3600,
251,"003 LUNATIC",255,6500,,3600,
252,"004 EASY",255,7000,,3600,
253,"004 NORMAL",255,8000,,3600,
254,"004 HARD",255,9000,,3600,
255,"004 LUNATIC",255,10000,,3600,
