"#Spell Number","Spell Name","Type: 255 Enemies, 2 Spells, 1 Skills, 0 Systems","Consumption","Description",,
0,"<story>Clap \"Daidarabotchi's Worship\"",255,3500,,3600,
1,"<story>Clap \"Daidarabotchi's Worship\"",255,4000,,3600,
2,"<story>Clap \"Daidarabotchi's Worship\"",255,4500,,3600,
3,"<story>Clap \"Daidarabotchi's Worship\"",255,5000,,3600,
4,"<story>Divine Tool \"Moriya's Iron Ring\"",255,3500,,3600,
5,"<story>Divine Tool \"Moriya's Iron Ring\"",255,4000,,3600,
6,"<story>Divine Tool \"Moriya's Iron Ring\"",255,4500,,3600,
7,"<story>Divine Tool \"Moriya's Iron Ring\"",255,5000,,3600,
8,"<story>\"Hellish Heat Geyser\"",255,3500,,3600,
9,"<story>\"Hellish Heat Geyser\"",255,4000,,3600,
10,"<story>\"Hellish Heat Geyser\"",255,4500,,3600,
11,"<story>\"Hellish Heat Geyser\"",255,5000,,3600,
12,"<story>\"Magma Amphibian\"",255,3500,,3600,
13,"<story>\"Magma Amphibian\"",255,4000,,3600,
14,"<story>\"Magma Amphibian\"",255,4500,,3600,
15,"<story>\"Magma Amphibian\"",255,5000,,3600,
16,"<story>\"Divine Battle Above Gensokyo\"",255,3500,,0,
17,"<story>\"Divine Battle Above Gensokyo\"",255,4000,,0,
18,"<story>\"Divine Battle Above Gensokyo\"",255,4500,,0,
19,"<story>\"Divine Battle Above Gensokyo\"",255,5000,,0,
248,"EASY",255,5000,,3600,
249,"NORMAL",255,5500,,3600,
250,"HARD",255,6000,,3600,
251,"LUNATIC",255,6500,,3600,
252,"EASY",255,7000,,3600,
253,"NORMAL",255,8000,,3600,
254,"HARD",255,9000,,3600,
255,"LUNATIC",255,10000,,3600,
