"#String Key","Translated String"
"failInit","Failed to initialize, please check your graphic driver 초기화에 실패했습니다. 그래픽 카드 드라이버를 확인하세요."
"d3d.failCoopLevel","Failed to set cooperation level, please check your graphic driver 초기화에 실패했습니다. 그래픽 카드 드라이버를 확인하세요."
"d3d.failDisplay","Failed to get display mode, please check your graphic driver 초기화에 실패했습니다. 그래픽 카드 드라이버를 확인하세요."
"d3d.failDevice","Failed to create D3D device, please check your graphic driver 초기화에 실패했습니다. 그래픽 카드 드라이버를 확인하세요."
"d3d.failObject","Failed to create D3D object, please check your graphic driver 초기화에 실패했습니다. 그래픽 카드 드라이버를 확인하세요."

"dinput.failCreate0","Failed to create DirectInput object #0"
"dinput.failCreate1","Failed to create DirectInput object #1"
"dinput.failDataFormat","Failed to set data format"
"dinput.failKeyboard","Failed to initialize keyboard"
"dinput.failQueue","Failed to queue device"
"dinput.failMouse","Failed to initialize mouse"
"dinput.failProps","Failed to set properties"

"dsound.failBuffer","Failed to get DirectSoundBuffer8 오디오 장치를 확인하고 도중에 헤드폰을 연결하거나 분리하지 마십시오."
"dsound.failBuffer3D","Failed to get DirectSound3DBuffer8 오디오 장치를 확인하고 도중에 헤드폰을 연결하거나 분리하지 마십시오."
"dsound.failBufferLock","Failed to lock buffer 오디오 장치를 확인하고 도중에 헤드폰을 연결하거나 분리하지 마십시오."
"dsound.failCreateListener","Failed to create listener 오디오 장치를 확인하고 도중에 헤드폰을 연결하거나 분리하지 마십시오."
"dsound.failCreateObject","Failed to create DirectSound object 오디오 장치를 확인하고 도중에 헤드폰을 연결하거나 분리하지 마십시오."
"dsound.failCreatePrimary","Failed to create primary sound buffer 오디오 장치를 확인하고 도중에 헤드폰을 연결하거나 분리하지 마십시오."
"dsound.failCreateTemporary","Failed to create temporary buffer 오디오 장치를 확인하고 도중에 헤드폰을 연결하거나 분리하지 마십시오."
"dsound.failInit","Failed to initialize DirectSound object 오디오 장치를 확인하고 도중에 헤드폰을 연결하거나 분리하지 마십시오."

"socket.failInit","Failed to initialize socket"
"socket.failPort","Failed to bind port 포트 충돌. 모든 th123.exe 프로세스를 종료하려면 작업 관리자를 여십시오."

"replay.delete","이 리플레이를 삭제하시겠습니까?"
"replay.deleted","리플레이를 삭제했습니다."
"replay.failFolder","리플레이 폴더 생성을 실패했습니다."
"replay.failDelete","리플레이 삭제를 실패했습니다."
"replay.save","이 리플레이를 저장하시겠습니까?"
"replay.saved","리플레이를 저장했습니다."
"replay.returnSelect","선택으로 돌아갑니다. 저장하십니까?"
"replay.returnTitle","타이틀로 돌아갑니다. 저장하십니까?"

"netplay.allowSpec","관전을 허용하시겠습니까?"
"netplay.confirmAddress","이 IP주소를 연결하시겠습니까?"
"netplay.confirmMatch","게임 연결중입니다... (관전은 아니요를 선택하세요)"
"netplay.failConn","연결에 실패했습니다."
"netplay.failSpec","관전이 허용되지 않는 방입니다."
"netplay.failStart","아직 게임을 시작하지 않았습니다."
"netplay.failPlaying","이미 게임이 시작된 방입니다."
"netplay.failPlayingSpec","게임이 진행중입니다. 관전하시겠습니까?"
"netplay.selectAddress","이 IP주소를 연결중입니다..."
"netplay.selectPort","포트 번호를 입력해주세요..."
"netplay.selectPrevious","이전 IP주소를 연결중입니다..."
"netplay.selectSaved","저장된 IP주소를 선택해주세요..."
"netplay.waitHost","사람을 기다리는 중입니다..."
"netplay.waitClient","연결중입니다..."

"profile.confirmCopy"," 복사했습니다."
"profile.confirmDelete"," 삭제했습니다."
"profile.confirmOverwrite"," 덮어쓰시겠습니까?"
"profile.confirmSave","저장하시겠습니까?"
"profile.copied","프로필이 복사되었습니다."
"profile.created"," 생성되었습니다."
"profile.deleted","프로필이 삭제되었습니다."
"profile.fail20Cards","덱에는 20장의 카드가 들어가야합니다."
"profile.failCreate"," 생성에 실패했습니다."
"profile.failCopy","프로필 복사를 실패했습니다."
"profile.failFolder","프로필 저장 폴더를 생성하지 못했습니다."
"profile.failDelete","프로필을 삭제하지 못하였습니다."
"profile.failName","이름을 바꾸지 못하였습니다"
"profile.nameChanged","이름을 바꿨습니다."

"story.continue","계속하다?  %d 개 남음."

"pattern.0","0 1 2 3 4 5 6 7 8 9<br>^<br>     .      .      .      : "
"pattern.1","%s - %s  %03d/%03d  Time %02d.%02d"
"pattern.2","<color 808080>? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? </color>"
"pattern.3","%d    <color FF8080>%d</color>    /%d<color FF8080>  /%d</color><br>"
"pattern.4","<color 808080>? ? ? ? ? ? ? ? </color>"
"pattern.5","<color 808080>? ? ?</color>"
