"#Spell Number","Spell Name","Type: 255 Enemies, 2 Spells, 1 Skills, 0 Systems","Consumption","Description",,
0,"<story>Virada Colorida \"Pétalas Esvoaçantes e Folhas Caindo\"",255,3500,,3600,
1,"<story>Virada Colorida \"Pétalas Esvoaçantes e Folhas Caindo\"",255,4000,,3600,
2,"<story>Virada Colorida \"Pétalas Esvoaçantes e Folhas Caindo\"",255,4500,,3600,
3,"<story>Virada Colorida \"Pétalas Esvoaçantes e Folhas Caindo\"",255,5000,,3600,
4,"<story>Sinal Colorido \"Chuva Pesada de Cores Vívidas\"",255,3500,,3600,
5,"<story>Sinal Colorido \"Chuva Pesada de Cores Vívidas\"",255,4000,,3600,
6,"<story>Sinal Colorido \"Chuva Pesada de Cores Vívidas\"",255,4500,,3600,
7,"<story>Sinal Colorido \"Chuva Pesada de Cores Vívidas\"",255,5000,,3600,
248,"003 EASY",255,5000,,3600,
249,"003 NORMAL",255,5500,,3600,
250,"003 HARD",255,6000,,3600,
251,"003 LUNATIC",255,6500,,3600,
252,"004 EASY",255,7000,,3600,
253,"004 NORMAL",255,8000,,3600,
254,"004 HARD",255,9000,,3600,
255,"004 LUNATIC",255,10000,,3600,
