#Spell Number,Spell Name,"Type: 255 Enemies, 2 Spells, 1 Skills, 0 Systems",Consumption,Description,,
0,"<story>Palma \"Veneração a Daidarabotchi\"",255,3500,,3600,
1,"<story>Palma \"Veneração a Daidarabotchi\"",255,4000,,3600,
2,"<story>Palma \"Veneração a Daidarabotchi\"",255,4500,,3600,
3,"<story>Palma \"Veneração a Daidarabotchi\"",255,5000,,3600,
4,"<story>Instrumento Divino \"Anel de Metal de Moriya\"",255,3500,,3600,
5,"<story>Instrumento Divino \"Anel de Metal de Moriya\"",255,4000,,3600,
6,"<story>Instrumento Divino \"Anel de Metal de Moriya\"",255,4500,,3600,
7,"<story>Instrumento Divino \"Anel de Metal de Moriya\"",255,5000,,3600,
8,"<story>\"Gêiser de Calor Infernal\"",255,3500,,3600,
9,"<story>\"Gêiser de Calor Infernal\"",255,4000,,3600,
10,"<story>\"Gêiser de Calor Infernal\"",255,4500,,3600,
11,"<story>\"Gêiser de Calor Infernal\"",255,5000,,3600,
12,"<story>\"Anfíbio de Magma\"",255,3500,,3600,
13,"<story>\"Anfíbio de Magma\"",255,4000,,3600,
14,"<story>\"Anfíbio de Magma\"",255,4500,,3600,
15,"<story>\"Anfíbio de Magma\"",255,5000,,3600,
16,"<story>\"Batalha Divina Acima de Gensokyo\"",255,3500,,0,
17,"<story>\"Batalha Divina Acima de Gensokyo\"",255,4000,,0,
18,"<story>\"Batalha Divina Acima de Gensokyo\"",255,4500,,0,
19,"<story>\"Batalha Divina Acima de Gensokyo\"",255,5000,,0,
248,"EASY",255,5000,,3600,
249,"NORMAL",255,5500,,3600,
250,"HARD",255,6000,,3600,
251,"LUNATIC",255,6500,,3600,
252,"EASY",255,7000,,3600,
253,"NORMAL",255,8000,,3600,
254,"HARD",255,9000,,3600,
255,"LUNATIC",255,10000,,3600,
