"#String Key","Translated String"
"failInit","Falha ao inicializar"
"d3d.failCoopLevel","Falha ao configurar Coop"
"d3d.failDisplay","Falha ao obter Monitor"
"d3d.failDevice","Falha ao criar dispositivo 3D"
"d3d.failObject","Falha ao criar objeto 3D"

"dinput.failCreate0","Falha ao criar DirectInput #0"
"dinput.failCreate1","Falha ao criar DirectInput #1"
"dinput.failDataFormat","Falha ao configurar Formato de Dados"
"dinput.failKeyboard","Falha ao inicializar Teclado"
"dinput.failQueue","Falha ao enfileirar dispositivo"
"dinput.failMouse","Falha ao inicializar Mouse"
"dinput.failProps","Falha ao configurar Propriedades"

"dsound.failBuffer","Falha em obter DirectSoundBuffer8"
"dsound.failBuffer3D","Falha em obter DirectSound3DBuffer8"
"dsound.failBufferLock","Falha ao trancar Memória"
"dsound.failCreateListener","Falha ao gerar Listener"
"dsound.failCreateObject","Falha ao criar objeto do DirectSound"
"dsound.failCreatePrimary","Falha ao criar Memória de som Primária"
"dsound.failCreateTemporary","Falha ao criar Memória Temporária"
"dsound.failInit","Falha ao inicializar objeto do DirectSound"

"socket.failInit","Falha ao inicializar Rede"
"socket.failPort","Falha ao obter Porta de Rede"

"replay.delete","Deseja excluir este Replay?"
"replay.deleted","Replay excluído."
"replay.failFolder","Falha ao criar pasta de Replays."
"replay.failDelete","Falha ao excluir Replay."
"replay.save","Deseja salvar o Replay?"
"replay.saved","Replay salvo."
"replay.returnSelect","Deseja salvar o Replay?"
"replay.returnTitle","Deseja salvar o Replay?"

"netplay.allowSpec","Deseja permitir espectadores?"
"netplay.confirmAddress"," é o IP desejado?"
"netplay.confirmMatch","Conetar-se como jogador? (Selecione ""não"" para assistir)"
"netplay.failConn","Falha ao se conectar"
"netplay.failSpec","Espectadores não são permitidos."
"netplay.failStart","O jogo ainda não começou."
"netplay.failPlaying","O jogo já começou."
"netplay.failPlayingSpec","O jogo já começou. Deseja assistir?"
"netplay.selectAddress","Selecione um endereço para se conectar"
"netplay.selectPort","Selecione o número da porta"
"netplay.selectPrevious","Selecione um endereço para se conectar"
"netplay.selectSaved","Selecione um endereço para se conectar"
"netplay.waitHost","Aguardando conexão..."
"netplay.waitClient","Conectando..."

"story.continue","Continuar? Restam %d chances."

"profile.confirmCopy"," será copiado."
"profile.confirmDelete"," será excluído."
"profile.confirmOverwrite"," já existe, deseja sobreescrever?"
"profile.confirmSave","Salvar mudanças?"
"profile.copied","Perfil copiado."
"profile.created"," criado."
"profile.deleted","Perfil excluído."
"profile.fail20Cards","O baralho deve possuir 20 cartas."
"profile.failCreate"," falhou ao ser criado."
"profile.failCopy","Falha ao copiar Perfil."
"profile.failFolder","Falha ao criar pasta de Perfil."
"profile.failDelete","Falha ao excluir Perfil."
"profile.failName","Falha ao alterar nome."
"profile.nameChanged","Nome alterado com sucesso."
"profile.intlWarning","Por favor, por questões de compatibilidade, troque o nome do perfil por um válido em inglês."

"pattern.0","0 1 2 3 4 5 6 7 8 9<br>  ^<br>               .               .              .              : "
"pattern.1","%s - %s  %03d/%03d  Time %02d.%02d"
"pattern.2","<color 808080>? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? </color>"
"pattern.3","%d    <color FF8080>%d</color>    /%d<color FF8080>  /%d</color><br>"
"pattern.4","<color 808080>? ? ? ? ? ? ? ? </color>"
"pattern.5","<color 808080>? ? ?</color>"
