100,Pedra Vermelha de Aja,"Dispara um feixe da Pedra Vermelha de Aja. Dizem que ela possui poder para demolir até uma forma de vida suprema\, mas nunca é explicado o que é uma forma de vida suprema."
101,Espetada de Árvore,Uma habilidade básica para crescer árvores manipulando o tempo. É possível crescer uma árvore logo abaixo do oponente para uma espetada perfeita.
102,Magia Lunar,Se envolve com uma barreira Danmaku. Um golpe defensivo que agride oponentes que tentarem chegar perto demais.
103,Jóia do Orochi,"Libera a Jóia do Orochi. É um ataque em duas partes. Primeiro, ela irá procurar um alvo, e então, se algum inimigo for detectado em seu campo de visão, as outras cabeças irão em direção do alvo."
104,Lapso de Tempo do Bambu,"Um ataque de manipulação temporal\, desta vez usando o crescimento das árvores de bambu. Um ataque rápido com alcance surpreendente\, não deve ser subestimado."
105,Escudo Salamandra,"Uma forma especial de magia do elemento fogo. Espalha chamas em um grande arco\, focando em propagação e não em poder. Não é terrivelmente poderoso\, mas requer bastante movimentação para desviar."
106,Ilmenita Lunar,"Lança uma grande Ilmenita Lunar. Após um tempo\, a Ilmenita se divide em partículas menores\, porém elas continuam imbuídas com poder mágico igual ao da pedra original."
107,Instante Expandido,"Um ataque que congela o tempo. É um projétil extremamente rápido capaz de congelar o alvo no tempo por um curto momento. É uma grande ameaça\, porém fácil de interromper pelos menores dos Danmaku."
108,Feixe de Assalto Lunar,"Lança sinalizadores para feixes de assalto. Os sinais são fáceis de destruir\, porém\, se ficarem intactos um grande e poderoso feixe irá atingir o local."
109,Supercrescimento,"Força o crescimento de árvores em certa distância. Tem um grande ponto cego\, mas pode surpreender o oponente."
110,Dança Hourai,"Um ataque giratório. Ela pode dar um passo por trás do oponente e atacar do outro lado\, uma dança traiçoeira de acompanhar."
111,Fogos de Artifício,Dispara um grupo de círculos mágicos de fogos de artifício. Após um breve momento eles se tornarão deslumbrantes fogos de artifício. 
112,Lua Ilusória,"Um ataque ascendente que desvia de balas. Ao criar uma ilusão para distorcer a realidade\, é possível perfurar através de uma barragem de Danmaku para um ataque."
113,Lança de Bambu,"Um ataque em alta velocidade com um danmaku de bambu. É difícil de antecipar e pode ser carregado\, criando preocupação no oponente."
114,Lágrima de Hourai,"Uma lágrima mágica de Imortalidade. Não é o infame Elixir Hourai\, mas garante resistência a ataques por um breve momento."
200,"Sinal Temporal ""Instante Eterno""",Congela o tempo por um breve momento para contra-atacar. É possível atacar antes que o oponente consiga se mover.
201,"Sinal Festivo ""Grandiosos Fogos de Artifício""","Desencadeia uma pletora de fogos de artifício. Ela sabe que fogos devem ser disparados aos céus\, mas insiste em fazer deste jeito."
202,"Arcanum Proibido ""Elixir Hourai""","A proibida medicina da Imortalidade. Ergue um campo mágico que continuamente garante invencibilidade e saúde. Possui um momento vulnerável no final\, mas é possível cancelar a técnica antes de terminar."
203,"Novo Pedido Impossível ""Teto sem Emendas de Kinkakuji""","O teto sagrado. Um ataque bem lento e vulnerável\, porém possui alto poder e é impossível de escapar quando não interrompido."
204,"Sinal do Festival ""Dança Hourai""<a> ","Uma versão mais rápida da Dança Hourai. Em um giro\, ela é capaz de acertar dois golpes."
205,"Tesouro Divino ""Ramo de Jóias do Hourai""","Dispara uma barragem de projéteis com o Ramo de Jóias do Hourai"". Lento\, colorido\, deslumbrante\, e mortal."
206,"Pedido Impossível ""Manto do Rato de Fogo""<a> ","Veste o Manto do Rato de Fogo. Garante invencibilidade por um breve período\, não dura muito tempo."
207,"""Floresta de Bambu da Eternidade""","Torna o campo em uma floresta de bambu crescendo eternamente. Dizem que a formação parece bela\, mas isso é só se você puder evadir dela."
210,"Sinal Lunar ""Eclipse Lunar""","Mira no oponente com a luz da lua. Depois de um tempo\, um raio luzente será disparado dos céus. O raio é disparada de uma distância bem longa\, então é difícil de mirar."
211,"""Floresta de Bambu dos Perdidos""",Cresce um surto de árvores de bambu para atacar. É um ataque formidável e simples que usa o poder da natureza.
212,"Sinal Temporal ""A Vida de uma Árvore em 10 Segundos""","Cresce árvores massivas em uma área mediana. Não é o contra-ataque mais rápido\, porém providencia segurança."
213,"Tesouro Divino ""Vida - Primavera - Infinidade""","Uma primavera que jorra Danmaku ao todo seu redor. É chamada de ""Vida - Primavera""\, mas parece tirar a vida de alguém ao invés do florescer."
