100,"Mais Rápido que a Luz","Balança o cajado mágico cegamente. Com mais poder ela pode, de alguma forma, deixar o balanço maior."
101,"Cometa Negro","Gira o cajado mágico para cima, deixando um traço negro. É um movimento simples usado para repelir inimigos no ar."
102,"Transbordo Mágico","Atira balas mágicas em todas as direções. Este golpe é tão rápido e forte que pode ser usado como contra-ataque, contudo ela precisa estar com o poder completo para usá-lo."
103,"Lua Estática","Traz uma Lua artificial para o local. A Lua explode depois de certo tempo. Você pode segurar o botão para trazer duas ao invés disso."
104,"Centelha Estreita","Atira um feixe de laser. Você pode segurar o botão para atirar um feixe mais forte, mas isto requer que ela esteja com o poder completo."
105,"Golpe Cometa","Invoca um cometa ardente. Ele é difícil de mirar, mas é bem rápido."
106,"Laser do Satélite","Ataca com um laser que pode ser na posição do inimigo ou na sua. Você pode controlar o tempo do feixe ao segurar o botão."
107,"Enxame Solar","Invoca um enxame de pequenos sóis e os guia em direção ao inimigo. Este é um ataque bastante custoso, e requer que ela esteja com o poder completo."
108,"Distorção Mágica","Distorce o espaço com magia. Porém isto não é um teleporte, então não é instantâneo."
109,"Estrangulamento da Força","Captura o inimigo no ar com energia mágica. Ela continuamente descarrega mais energia para ferir o oponente então o arremessa no solo."
110,"Campo Maligno","Uma ataque supermassivo. Contudo, ele requer tempo para ser carregado."
111,"Constelação Pareada","Um projétil consistente de dois satélites com energia mágica correndo entre eles. Os satélites continuam a girar, o que faz o ataque ter um padrão complexo."
200,"Sinal da Estrela ""Conjunto Planetário""","Atira um conjunto de estrelas miniaturas. Após avançar por um momento, ele se divide e gira por um tempo."
201,"Sinal da Estrela ""Cometa do Juízo Final""","Gira o cajado mágico para cima, criando traços negros massivos. Ele nem mesmo se parece com um cometa, mas ela insiste que o nome é adequado."
202,"""Centelha do Crepúsculo""","Abre um portão no céu que atira lasers massivos altamente energizados. Como esta é sua carta trunfo, ela precisa gastar toda sua energia em um tiro."
203,"""Centelha do Alvorecer""","Abre um portão no céu que atira um laser altamente energizado. É um ataque autônomo, então ela pode se mover antes dele ativar."
206,"Sinal da Estrela ""Constelação Abstrata""","Desenha uma constelação abstrata usando estrelas artificiais. Depois de um certo tempo, essas estrelas explodem."
207,"""Escuridão Plena""","Envolve o campo em escuridão. Durante este efeito, ela é capaz de evitar os ataques físicos do oponente, como se eles fossem projéteis."
208,"""Reflexo da Lua""","Usa da sua velocidade para fazer contra-ataques. Se ela utilizar do bloqueio, ela pode gastar uma das cartas em sua mão para contra-atacar. Se ela tiver cartas suficientes, ela pode entrar em modo de defesa."
209,"""Zona Maligna""","Uma ataque supermassivo. Ele mira toda a arena, então é impossível errar."
210,"Sinal do Sol ""Erupção Solar Artificial""","Invoca um Sol miniatura que ativamente solta erupções solares ao redor. O Sol precisa ser manualmente mantido, então ela não pode se mover enquanto durar."
211,"Sinal da Estrela ""Constelação Estelar""","Atira cinco satélites que criam uma constelação. Eles se aproximam do inimigo enquanto continuamente crescem em tamanho."
