100,Gêiser Vulcânico,"Cria um pequeno gêiser. Alcança bem alto e é rápido\, então pode pegar oponentes de guarda baixa."
101,Chute Explosivo,"Um chute extremamente poderoso. Este golpe machuca o usuário também\, no entanto por um período muito curto Mokou assume uma pose de defesa para evitar tomar danos maiores."
102,Ressurreição,"Vira um ovo. Ela é invencível durante isso\, e pode sair dele para se curar apertando o botão de cima."
103,Chamada das Aves de Fogo,"Chama uma horda de aves de fogo. Não é um ataque realmente coordenado\, então o poder é baixo."
104,Rabo de Fênix,"Espalha algumas aves de fogo em uma área. As aves são inofensivas\, mas soltam uma trilha de fogo."
105,Corrida da Fênix,"Um ataque de investida. É possível fazer um ataque consecutivo\, e a direção pode ser controlada."
106,Pisada da Terra,"Um veloz ataque de chute descendente. Uma bola de lava emerge quando ela toca o chão\, explodindo tudo no arreador. O tipo de ataque é ajustável. Só pode ser usado em pleno ar."
107,Invocar Ave de Fogo,"Invoca uma ave de fogo. A ave pode ser um tanto controlada com movimentos\, mas ela desaparece quando se move entre o chão e ar."
108,Disparo de Penas de Fênix,"Dispara penas de fênix para a frente. Não é realmente mirado\, mas cobre uma grande área."
109,Soco de Fênix,Pula para a frente e soca o oponente. É um ataque veloz e poderoso.
110,Salto do Falcão,"Salta e pisa na cabeça do oponente. O arco percorrido pode ser levemente controlado\, e ela tem seu próprio arsenal de golpes se a pisada acertar."
111,Erupção Vulcânica,"Manda uma onda de fogos vulcânicos no chão\, que ela pode ativar a qualquer momento mais tarde."
200,"Sinal de Chamas ""Asteroide Queimado""","Invoca um asteroide. Leva tempo para que ele atinja o chão\, mas é um ataque poderoso que deve ser desviado. Claramente\, não é um asteroide de verdade."
201,"""Vulcão Fujiyama""","Chuta o oponente para cima e depois o leva de volta ao chão\, enquanto cria uma erupção vulcânica gigante logo abaixo. Ela é imortal então ela apenas fica no centro dele."
202,"Sinal de Chamas ""Paisagem da Erupção Vulcânica""",Invoca uma tempestade vulcânica. Ventos fortes empurram o oponente para o canto por uma curta duração.
203,"""Renascimento da Fênix""","Uma carta que pode ser usada apenas em pleno ar. Ela se torna um ovo para ressuscitar\, no entanto ela também faz isso criando um tornado de fogo em seu despertar."
205,"Sinal de Chamas ""Punho da Fênix""","Lança um poderoso punho de fogo no oponente\, que então solta um ataque de projétil de fogo."
206,"""Possuída pela Fênix""","O espírito de uma Fênix possui o alvo\, atacando-o repetidamente ao longo do tempo."
207,"Sinal de Labareda ""Vôo da Fênix""","Cresce um par de asas por um curto período. Isso a permite se mover muito rápido\, enquanto dá proteção contra projéteis."
208,"Imortal ""Grito de Guerra das Aves de Fogo""","Invoca um enxame de aves de fogo. Ainda não há muito controle e poder de fogo\, mas a quantidade faz elas serem difíceis de se lidar."
211,"Imortal ""Ave de Fogo -Fênix Voadora-""","Invoca um projétil de Fênix que ela pode controlar indiretamente com seus próprios movimentos. É uma Fênix\, então é indestrutível."
212,"Sinal de Labareda ""Chute da Fênix""","Um chute extremamente poderoso. No entanto devido ao quão poderoso esse golpe é\, é uma faca de dois gumes que causa dano massivo ao usuário também."
