100,"Mordida Raivosa","Momiji dá uma enorme mordida. Segurar o botão faz o ataque mais poderoso."
101,"Ducha de Cachoeira","Empresta água da montanha para atacar. O ataque demora para iniciar, mas é um ataque forte."
102,"Golpe Predador","Faz um grande salto e então imediatamente ataca para baixo."
103,"Golpe do Lobo Ascendente","Um ataque cortante para cima. Pode ser usado como contra-ataque."
104,"Corte da Onda de Vento","Corta o vento criando ondas de vento. Por ser apenas uma onda, o alcance é limitado."
105,"Emboscada do Cão de Caça","Morde o oponente, não importa onde ele esteja. Contudo é um pouco lento por precisar de preparação."
106,"Presas do Caçador","Salta longe em alta velocidade, e joga projéteis num arco amplo. Não é um ataque forte, porém ele é rápido."
107,"O Caçador Paciente","Entra em postura de bloqueio. Ao pressionar o botão novamente, Momiji faz um corte ascendente. Ela faz isso enquanto defende, então é um poderoso contra-ataque."
108,"Buquê de Folhas de Bordo","Arremessa pra frente um buquê de folhas de Bordo. Se o botão for segurado, ela joga mais folhas."
109,"Presa-Armadilha","Coloca uma armadilha ao seus pés. Deixa o inimigo que pisar nele indefeso. Se você colocar mais que uma, a antiga irá desaparecer, então seja cuidadoso."
110,"Pose de Emboscada","Entra em postura defensiva. Se o oponente atacar, ela solta uma chuva de projéteis."
111,"Dança no Despertar do Outono","Salta e faz um ataque giratório. Também pode ser utilizado no ar, fazendo deste, um ataque versátil."
200,"Sinal da Queda ""Queda de Outono""","Invoca uma cachoeira direto da montanha. Ela não vem muito rápida, mas é poderosa e dá cobertura para a Momiji."
201,"""Cachoeira de Outono""","Invoca uma cachoeira gigantesca. É um ataque bastante poderoso, e não deixa espaço para contra-ataques."
204,"Sinal da Presa ""Andorinha Reversa""","Corta a frente e atrás. É dito que ela consegue executar ambos os cortes como se fossem ao mesmo tempo."
206,"Sinal da Queda ""Queda de Verão""","Momiji faz um grande corte. Ele pode ser desviado, mas é bem rápido. Parece que alguém tem uma carta de magia similar."
207,"Sinal do Vento ""Brisa Suave de Outono""","Cria uma aura de vento que expande vagarosamente. Ela não é nem um pouco gentil."
208,"Sinal da Guarda ""Sentinela da Montanha""","Atira projéteis com a forma de seu escudo. Não é um ataque poderoso, mas é bom como distração."
209,"Sinal Canino ""Ataque em Baskerville""","Atira pra frente um projétil em forma de cabeça de Lobo. Ele é rápido e feroz."
210,"Sinal da Presa ""Mastigação Satisfatória""","Momiji faz uma série de mordida massivas. Ela mastiga maior e mais forte a cada vez, tornando-o mais poderoso."
214,"Sinal Canino ""Golpe do Lobo Incansável""","Uma sequência de Golpe do Lobo Ascendente. Contudo ela golpeia para baixo por último, por isso ela não chama esse golpe de Lobo Ascendente."
219,"Sinal da Guarda ""Guardião do Portão""","Ao utilizar, sete projéteis em forma de escudo de Bordo aparecem. Mesmo sendo escudos, eles são principalmente usados com propósito de ataque."
