100,Rastros de Ego e Id,Dispara projéteis de duas cores. Definitivamente não é complicado como o nome sugere.
101,Focado mas Emaranhado,"Cresce vinhas que se moldam como uma lança do braço. É um ataque versátil com alcance decente\, e bem simples de se utilizar."
102,Danmaku Psicodélico,"Dispara projéteis com efeitos hipnóticos. Caso o oponente seja acertado ou os atravesse\, Satori é capaz de se aprofundar em suas memórias para encontrar as cartas corretas para usar contra ele."
103,Leitura Mental,"Quando usado\, lê a mente do oponente por um curto período. É feito para exigência de agilidade de uma luta de danmaku."
104,Caleidoscópio Kármico,"Planta um espelho no ar. Quando ele receber um ataque de projétil\, irá disparar lasers de volta no oponente. Na verdade não é karma\, ela apenas quer atacar."
105,Vinhas Subterrâneas,"Cresce vinhas do chão que possuem flores espinhosas. É um golpe lento\, mas parece ser uma medida defensiva."
106,Sugestão de Medo,"Apresenta uma série de luzes hipnóticas que fazem o oponente se lembrar de seus medos. Enquanto o oponente permanecer na área\, eles constantemente revelam seus medos para Satori encontrar as cartas corretas para utilizar."
108,Elude a Mente,Pula para trás enquanto dispara projéteis. Um golpe que permite que Satori desvie e constantemente se move enquanto ainda ataca.
109,Planta Carnívora de Voo,"Cresce vinhas que permanecem no lugar por um tempo. As vinhas atacarão oponentes vulneráveis\, e aqueles que tentarem voar por cima dela."
110,Hipnose Forçada,Captura o oponente e força uma hipnose nele à queima-roupa. Satori é então capaz de ler sua mente e saber as cartas apropriadas para combatê-lo.
111,Interpretação Suprema,"Quando usado\, temporariamente entra num estado elusivo. Quando bloquear um ataque corretamente\, Satori imediatamente escapa da situação."
200,"Recordação ""Lembrança Terrível""",Apresenta uma série de luzes hipnóticas para o oponente. Isso permite Satori pegar as cartas corretas das quais o oponente tem memórias ruins.
201,"Recordação ""Passagem para o Submundo""",Carta da Yuyuko Saigyouji. Um ataque simples onde ela dispara danmaku fantasma de sua mão.
202,"Recordação ""Centelha Mestre""","Carta da Marisa Kirisame. Bom, aquele certo dispositivo não é necessário ser copiado para que a cópia funcione."
203,"Recordação ""Cochilo Eterno""","Carta da Yuyuko Saigyouji. Uma barragem de danmaku borboleta em formação circular\, boa para medidas defensivas."
204,"Recordação ""Hipnotismo Aterrorizante""","Apresenta uma série de luzes hipnóticas ao longo do estágio\, revelando os medos mais profundos do oponente. Bom\, essencialmente\, ela está resetando suas cartas."
205,"Recordação ""Spear The Gungnir""",Carta da Remilia Scarlet. Uma lança de aura poderosa que atravessa projéteis e inimigos mesmo a uma longa distância.
206,"Recordação ""Explosão de Mina""",Carta da Momoyo Himemushi. Dispara vários projéteis que explodirão após se prenderem numa parede por um tempo. Provavelmente não é bom destruir os ambientes...
207,"Recordação ""Tiro Navegante do Peixe-Remo""",Carta da Iku Nagae. Dispara projéteis elétricos em formação circular.
208,"Recordação ""Clarão Solar""",Carta da Patchouli Knowledge. Um ataque simples e poderoso que cobre todo o campo.
209,"Recordação ""Vaga Recordação de Kinkakuji""","Carta da Kaguya Houraisan. Uma formação de danmaku do céu que é impossível de desviar ou defender. Mas leva tempo para ser preparado\, então é fácil de interromper."
210,"Recordação ""Conflagração Superdensa""",Carta da Suika Ibuki. Dispara uma bola de fogo massiva que se divide em partes menores quando quica no chão.
211,"Recordação ""O Dilúvio""","Carta da Murasa Minamitsu. Um ataque simples que (não) puxa água do chão. É um ataque defensivo rápido\, útil para retaliação."
212,"""Jardim Subterrâneo""","Cresce uma pletora de vinhas e rosas espinhosas. Elas murcham após um tempo\, mas podem restringir os movimentos do oponente por um tempo."
219,"Recordação ""9 Selos de Costura""","Carta da Sanae Kochiya. Uma carta que fortemente limita o espaço de movimentação do oponente\, mas precisa de tempo para ser preparado."
220,"Recordação ""Olhos Vermelhos Lunáticos""","Carta da Reisen Udongein Inaba. Originalmente\, é uma onde luzes enlouquecedoras. Esta carta não tem nada disso\, é apenas um projétil direto com um pouco de hipnose e ilusão."
221,"Recordação ""Teoria da Conspiração de Apollo""","Carta da Clownpiece. Bom\, não é uma carta muito complicada de ser copiada. Claro\, não são luas de verdade para começar."
222,"Recordação ""Zona Maligna""","Carta da Mima. Um ataque simples que cobre uma grande área\, logo é impossível errar."
223,"Recordação ""Visor Nuclear""",Carta da Utsuho Reiuji. Uma barreira defensiva com funções versáteis. Não parece levar muito esforço para ser copiada.
224,"Recordação ""Agulhada da Nuvem Carregada""","Carta da Iku Nagae. Parece uma barreira defensiva\, mas na maioria das vezes é usada ofensivamente."
225,"Recordação ""Fronteira Objetiva""",Carta da Yukari Yakumo. Dispara projéteis amarelos que cobrem as bordas da tela.
226,"Recordação ""Orbe da Fantasia""","Carta da Reimu Hakurei. Apesar de ser numa escala menor de sua carta assinatura\, a versatilidade é mantida."
227,"Recordação ""Queda de Outono""","Carta da Momiji Inubashiri. Não parece molhar nada\, então muito certamente não é água real."
228,"Recordação ""Boneca Quebrada""","Carta da Flandre Scarlet. Não é possível copiar a habilidade da vampira\, então isso é apenas um truque com danmaku."
229,"Recordação ""Centelha de Flor""","Carta da Yuuka Kazami. Invoca uma flor que dispara um raio após certo tempo. A flor segue ela\, então é surpreendentemente útil para defesa."
