100,Ogiva,"Arremessa uma cabeça adicional que se difunde em uma explosão sombria ao entrar em contato com o chão. A explosão não é grande\, mas é poderosa."
101,Troca Secreta,"Troca de posição entre a cabeça e o corpo. Devido à escuridão\, é difícil saber como isso é feito."
102,Espalhar Sombras,Ataca espalhando sombras à curto alcance. É possível espalhar mais se você apertar múltiplas vezes.
103,Pescoço Longo,"Manda a cabeça voando no inimigo. Se acertar\, ela permanece próxima do inimigo. O pescoço também é perigoso de ser tocado."
104,Cabeça Gigante,Invoca uma cabeça gigante que voa para a frente. Ser acertado por uma cabeça grande assim machuca.
105,Cabeça Secreta,"Puxa o oponente com um ataque de uma cabeça escondida no chão. Não causa dano\, mas não pode ser bloqueado."
106,Foice Rokuro,"Usa uma foice gigante para acertar o oponente. A foice é muito longa\, então possui um ponto cego."
107,Raio Rokuro,Dispara um raio dos olhos. É mais poderoso que seu ataque de laser regular.
108,Pescoço Vazio,"Cospe cabeças de seu pescoço vazio. As cabeças tentarão voltar ao pescoço\, mas não podem persegui-lo."
109,Agitação na Escuridão,"Desaparece na escuridão\, e então faz um contra-ataque se o oponente tocá-la."
110,Furadeira Rokuro,"Pula acima do oponente e gira como uma furadeira. Este golpe não tem nada a ver com ser uma Dullahan ou Rokurokubi\, então é um ataque questionável."
111,Nukekubi Confuso,"Gira a cabeça\, causando um pequeno efeito de tornado. Com essa velocidade\, qualquer uma ficaria confuso também."
200,"Sinal de Dullahan ""Ceifador Rokuro""<a> ",Avança adiante e ataca o oponente. Ser acertado por este golpe causa terror como se fosse cortado pela Morte.
201,"Olhos Cintilantes ""Feixe do Inferno""","Dispara raios dos olhos. É um poderoso ataque de laser\, mas parece que ela pode mantê-lo por uma duração decente."
202,"Cabeça Voadora ""Segunda Cabeça""",A cabeça de Dullahan se separa em duas. Ela irá disparar projéteis por uma certa duração.
203,"Cabeça Voadora ""Terceira Cabeça""",A cabeça de Dullahan se separa em três e dispara projéteis. Talvez ela possa separar em ainda mais cabeças.
204,"Olhos Cintilantes ""Raio do Inferno""","Dispara raios dos olhos. É um ataque muito poderoso que afeta uma enorme área\, e ela parece dispará-los às cegas."
205,"Cabeça Voadora ""Pescoço Extremamente Longo""","Por uma certa duração\, um pescoço será anexado à cabeça. Parece que ela está tentando atingir um novo recorde em comprimento de esticar o pescoço."
206,"Sinal de Dullahan ""Estrada do Dullahan""",Avança adiante enquanto pavimenta o chão com escuridão. A estrada do Dullahan é bastante sombria.
207,"Decapitado ""Tornado Rokuro""",Cria um tornado sombrio girando em uma velocidade muito rápida. Este ataque realmente não tem nenhuma relação com ser uma rokurokubi ou dullahan.
208,"""Noite do Dullahan""","Desaparece nas sombras e espera o oponente se mover. Se ele atacar\, desgraça cairá sobre ele."
212,"Sinal de Dullahan ""Espalhar Noite""","Espalha uma névoa negra repetidamente. É um ataque rápido e ela é invencível no início\, mas ainda é um projétil então pode ser desviado."
