100,Vajra Purificador,"Planta múltiplos Vajra no chão. Após um período\, os Vajras atiram raios para cima."
101,Descoberta do Tesouro,"Aprimorando seus sentidos\, ela é capaz de ver tesouros por um curto momento. Após pegar esses tesouros\, ela pode usá-los para ataques de spellcard."
102,Raio do Templo Adornado,"Dispara um ataque laser denso com o Templo Adornado. É um ataque de projétil muito denso\, e esquivá-lo é difícil."
103,Pulo do Tigre,"Segura sua posição por um instante\, antes de fazer um ataque de investida em alta velocidade. Quanto mais o botão é segurado\, mais rápido ela vai."
104,Vajra do Arrependimento,"Planta um Vajra massivo no chão. Após um momento\, ele dispara um poderoso ataque de raio para cima."
105,Tesouros amaldiçoados,Atrai tesouros amaldiçoados e os força para acima do chão. Os tesouros drenam o espírito do oponente quando o tocam.
106,Mandala do Céu e Terra,"Dispara uma barragem de lasers do Templo Adornado. Os lasers convergem em um ponto\, onde possui o poder de fogo máximo."
107,Arte de Lança,Gira a lança rapidamente. É um ataque rápido que pode bloquear projéteis. Também é possível prolongar o ataque apertando o botão repetidamente.
108,Pancada de Lança,"Bate com a lança no chão. Cobre uma grande área\, e pode acertar atrás dela também."
109,Tesouro da Luz,"Aprimorando seus sentidos\, ela é capaz de ver tesouros por um curto momento. Esses tesouros reagem a ataques fortes de projéteis\, disparando mais projéteis."
110,Tigre Implacável,"Um ataque consecutivo com múltiplas combinações. Pressionando os botões B e C\, é possível realizar ataques até 3 vezes."
111,Joelhada de Tigre,Um ataque para cima com o joelho. Parece ser uma técnica que ela aprendeu de certo artista marcial.
200,"Sinal do Tesouro ""Chão Deslumbrante""","Dispara luzes através do mapa com o Templo Adornado. Conforme esses raios de luz entram em contato com o chão\, mais gemas são criadas\, que ela pode pegar para aumentar seu uso de spellcards."
201,"Sinal de Luz ""Demônio da Purificação""","Dispara raios com múltiplos Vajras espalhados pelo chão. Um ataque com grande abrangência\, mas não dura muito tempo."
202,"Sinal do Tigre ""Tigre Faminto""",Um ataque de investida para cima. É difícil de ser desviado e ela é invencível por um momento. Um tigre faminto é difícil de se escapado de fato.
203,"""Clarificação Completa""",Purifica todo o estágio pelo poder da luz. É um ataque muito pesado que cobre todo o estágio. Não há para onde correr.
204,"Templo Adornado ""Luz da Iluminação""",Dispara um ataque de raio de alto poder com o Templo Adornado. É um ataque simples e direto muito poderoso.
205,"Sinal do TIgre ""Pulo do Tigre""<a> ","Avança no oponente para cima em alta velocidade\, antes de finalmente fazer um ataque de enterrada do céu. É um ataque poderoso\, adequado à avatar de Bishamonten."
206,"Poder Budista ""Estado de Tranquilidade""","Por um curto momento\, fortalece o corpo para aguentar golpes sem sofrer hitstun\, mas não pode defender durante o efeito. Girar a lança permite que ela se concentre melhor\, então ela começa com isso."
207,"Templo Adornado ""Luz da Tranquilidade""","Dispara um ataque de raio do Templo Adornado. Pode parecer poderoso\, mas ela ainda está pegando leve."
208,"Sinal de Tigre ""Investida do Tigre""",Gira a lança por um momento antes de fazer um movimento quase instantâneo. A lança não é usada durante o ataque de investida em si aparentemente.
209,"Sinal de Luz ""Vajra do Budismo Perfeito""","Libera um par de Vajras enormes no campo. Elas rodam e cobrem todo o estágio com sua luz. Deslumbrante e destrutivo\, é perfeitamente equilibrado\, como tudo deve ser."
