100,Raízes Emaranhadas,Prende as pernas do oponente com raízes. Isso pode mantê-lo preso por um momento.
101,Reflorescimento de Gensokyo,Cresce flores ao longo do estágio. As flores irão desabrochar e finalmente disparar raios poderosos.
102,Centelha Estática,"Dispara um ataque laser de curto alcance. O consumo é baixo\, então o ataque pode ser mantido por um muito tempo."
103,Manda Chuva,Voa para longe enquanto invoca chuva no seu levantar. No entanto a chuva é perigosa de ser tocada.
104,Guarda-sol Aríete,"Gira seu guarda-sol para a frente. Requer uma recuperação após seu uso\, no entanto é um ataque rápido que esquiva\, o que é necessário ser considerado."
105,"Rosas são Vermelhas\, Violetas são Azuis",Cria um campo de flores que crescem em flores diferentes dependendo do botão apertado. Elas se espalham e atacam o oponente após terminarem de crescer.
106,Rosa de Ouro,"Cresce uma rosa de ouro. Após um tempo\, ela se dispersa\, e é bastante nociva."
107,Fada Guardiã,"Invoca uma fada guardiã. Ela não ataca o oponente\, mas é boa para proteger contra danmaku do inimigo."
108,Tendências Demônicas,"Prende o oponente e dispara um laser à queima-roupa. Este golpe é um tipo de arremesso\, então não pode ser bloqueado; o inimigo está à mercê da Yuuka."
109,Árvore da Palma,"Desaparece da visão enquanto avança adiante. Após alcançar o oponente\, ela abre sua palma da mão e dispara um estouro de energia dela."
110,Frenesi do Jardim,"Dá poder às flores atualmente na área\, acelerando seu crescimento para rapidamente alcançar o ponto de desabrochar."
111,Canhão de Flor,O botão B põe uma flor flutuante. O botão C dispara uma onda de ataque de curto alcance direcionado ao oponente.
200,"Guarda-sol ""Onda de Guarda-sol""",Dispara um ataque de energia com seu guarda-sol. Ela é forte então o ataque é maior do que o guarda-sol realmente parece.
201,"""Centelha Dupla""","Invoca um clone que então dispara uma Centelha Mestre de poder inteiro junta. Se é impossível sobreviver a uma\, não há esperança contra duas."
203,"Sinal de Flor ""Girassol""","Arremessa um anel de projéteis no oponente. Parece um girassol gigante\, mas na verdade não é."
204,"Sinal de Flor ""Raízes Emaranhadas""",Prende o oponente com raízes. Não é um ataque poderoso mas se o oponente for pego ele pode machucar.
205,"Sinal Demoníaco ""Centelha Vil""","Dispara um enorme ataque de laser. Devido à quantidade de poder que ela tem\, o ataque tem uma abrangência muito grande apesar de ser mirado para baixo."
206,"""Centelha Mestre""","Dispara seu ataque de laser gigante. Dependendo de quanta energia é gasta\, pode ser um ataque muito poderoso."
207,"""Jardim do Sol""","Cresce flores ao longo do estágio. Quando terminam de crescer\, elas disparam poderosos raios comparáveis ao ataque de um youkai poderoso."
208,"Sinal de Flor ""Flor Em Sua Mão""","Avança rapidamente para o oponente\, desaparecendo da visão. Quando alcança o oponente ela dispara uma explosão de alta energia de sua mão. É um contra-ataque veloz."
209,"Energy ""Voadora do Poder""","Executa uma voadora. Ela infunde energia no chute\, então é bastante potente."
210,"Guarda-sol ""Guarda-sol Ilimitado""","Gira seu guarda-sol para frente\, batendo no oponente enquanto voa pela tela várias vezes."
211,"Guarda-sol ""Vôo do Guarda-sol""","Prepara o guarda-sol e o põe em aguardo. Durante este estado\, sempre que ela esquiva ela gira com seu guarda-sol. Não é um danmaku e é difícil de ser desviado."
212,"Sinal de Flor ""Yggdrasil""","Invoca uma árvore gigante que absorve tudo ao redor. Após terminar de absorver\, dispara um laser gigante para baixo."
213,"Sinal de Flor ""Centelha de Flor""","Invoca uma flor flutuante que irá disparar um raio após terminar de crescer. Apesar da flor ser pequena\, o raio não deve ser subestimado."
214,"Energia ""Reação de Fotossíntese""","Entra no estado de Fotossíntese no qual ela absorve luz solar dos arredores. Após atingir o requerimento\, ela libera uma poderosa onda de choque."
