#spellcard number,spellcard name,type,consumption,description,appearance stage,rarity
0,<story><key csv.namazu.0.name>,255,3500,,3600,
1,<story><key csv.namazu.0.name>,255,4000,,3600,
2,<story><key csv.namazu.0.name>,255,4500,,3600,
3,<story><key csv.namazu.0.name>,255,5000,,3600,
4,<story><key csv.namazu.4.name>,255,3500,,3600,
5,<story><key csv.namazu.4.name>,255,4000,,3600,
6,<story><key csv.namazu.4.name>,255,4500,,3600,
7,<story><key csv.namazu.4.name>,255,5000,,3600,
8,<story><key csv.namazu.8.name>,255,3500,,3600,
9,<story><key csv.namazu.8.name>,255,4000,,3600,
10,<story><key csv.namazu.8.name>,255,4500,,3600,
11,<story><key csv.namazu.8.name>,255,5000,,3600,
12,<story><key csv.namazu.12.name>,255,3500,,3600,
13,<story><key csv.namazu.12.name>,255,4000,,3600,
14,<story><key csv.namazu.12.name>,255,4500,,3600,
15,<story><key csv.namazu.12.name>,255,5000,,3600,
16,<story><key csv.namazu.16.name>,255,3500,,0,
17,<story><key csv.namazu.16.name>,255,4000,,0,
18,<story><key csv.namazu.16.name>,255,4500,,0,
19,<story><key csv.namazu.16.name>,255,5000,,0,
248,"003 EASY",255,5000,,3600,
249,"003 NORMAL",255,5500,,3600,
250,"003 HARD",255,6000,,3600,
251,"003 LUNATIC",255,6500,,3600,
252,"004 EASY",255,7000,,3600,
253,"004 NORMAL",255,8000,,3600,
254,"004 HARD",255,9000,,3600,
255,"004 LUNATIC",255,10000,,3600,
