#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,人偶操创,1,0,将人偶释放到固定位置展开攻击，根据按键的不同可以选择设置在不同的位置。一种如地雷般限制对手的基本技能。,0,1,104,1,108,1,0,0,3,100
101,人偶无操,1,2,将灌注有魔力的人偶发射而出，并在人偶受到冲击时爆炸攻击。高等级的话人偶将黏上敌人并在一定时间后自爆。,0,1,105,1,109,1,0,0,3,110
102,人偶置操,1,1,往上空放出复数在待机一定时间后会自动攻击的人偶。,0,1,106,1,110,1,0,0,3,120
103,人偶振起,1,4,设置系的技能。利用强射击完毕待机状态的人偶在其周围产生攻击。如果大量(合理)设置的话可以做到高威力并且广范围的攻击。,0,1,107,1,111,1,0,0,3,140
104,人偶归巢,1,0,投出回旋镖般来回攻击的人偶。放出时也有攻击力，是爱丽丝十分罕见的有高性能直接攻击能力的技能。,1,1,201,2,0,0,0,0,3,101
105,人偶火葬,1,2,投出灌注有魔力的人偶。以弹幕产生效果比较慢为代价，本体可以和人偶同时进行攻击。　,1,1,200,2,0,0,0,0,3,111
106,人偶千枪,1,1,在周围聚集持有武器的人偶并向前方实行突刺的连续近距离攻击。人偶的攻击为打击攻击，因此不能使用擦弹进行回避。,1,1,210,3,0,0,0,0,3,121
107,人偶ＳＰ,1,4,弱攻击在自己周围聚集人偶；强攻击消耗周围的人偶进行攻击。最多可以聚集3个待机的人偶，当到达最大待机数时再使用弱攻击将会全部放出进行攻击,1,1,202,2,0,0,0,0,3,141
108,人偶伏兵,1,0,让人偶军团潜伏的技能。按住键可以让人偶保持在潜伏状态，继而可以远离敌人进行攻击。需要注意，虽然人偶看不见，但是依然会受到敌人的攻击。,0,1,208,3,0,0,0,0,3,103
109,大江户机关爆炸人偶,1,2,投出拥有自走能力的人偶炸弹。　人偶会在地上慢慢走动，当接近对手或者受到冲击时就会爆炸。此外同时间内画面中只能出现一个人偶。,1,1,211,4,0,0,0,0,3,113
110,人偶弓兵,1,1,让背后展开的人偶用弓攻击的弹幕技。弓箭的轨道虽不固定，但是覆盖范围广且密度也高。,0,1,206,2,0,0,0,0,3,123
111,Seeker Wire,1,4,利用强射击布置出的人偶形成折射点，反射光线并在经过所有人偶后折射向对手攻击。,1,1,209,2,0,0,0,0,3,143
200,魔符「Artful Sacrifice」,2,1,投出灌注有魔力的人偶炸弹，效果发生比较晚所以想直接攻击到会很难，不过相对于消耗来说威力很高。,0,2,203,4,0,0,0,0,3,200
201,战符「Little Legion」,2,2,组成人偶方阵攻击敌人，同时方阵会随时间逐渐扩大。虽然威力不高，但是限制对手行动的效果很好。,1,2,204,3,0,0,0,0,3,210
202,咒符「上海人偶」,2,2,让人偶放出高威力的激光。激光不仅速度快，射程亦是无限，作为标准的射击简单易用。,0,2,205,4,0,0,0,0,3,211
203,魔操「Return Inanimateness」,2,3,投出能产生强力爆炸的人偶，爆炸范围、威力和产生效果的速度都有所增加。,0,4,0,0,0,0,0,0,3,220
204,战操「Doll's War」,2,4,形成高密度的人偶方阵。　　　　如果把敌人捕获在方阵中心的话，无论是威力还是拘束时间都相当可观。,1,3,0,0,0,0,0,0,3,230
205,诅咒「蓬莱人偶」,2,4,复数人偶向前方放出广范围且高威力的激光。　,1,4,0,0,0,0,0,0,3,231
206,侦符「Seeker Dolls」,2,2,向上空配置大量人偶后，利用它们向下方制造出激光网。威力会根据对手的状态而变得不稳定，不过对逼走对手效果不错。,1,2,0,0,0,0,0,0,3,212
207,红符「和兰人偶」,2,4,发射放出十字激光的人偶。　　　由于本体投出后立即就能行动，所以可以作为激光盾来使战斗变得有利或以此接近对手。,1,3,0,0,0,0,0,0,3,233
208,人偶「未来文乐」,2,3,精细地操作一只人偶进行攻击的模式。人偶会跟本体一样因按键做出迅速的移动与攻击。按第4键(Dash)可以中断操作。,1,3,0,0,0,0,0,0,3,221
209,注力「Trip Wire」,2,2,在本体和利用强射击已经设置好的人偶间的连线上作发光攻击。如果可以控制好位置关系的话是能命中对手要害的便利技能。,1,2,207,3,0,0,0,0,3,213
210,枪符「萌萌大千枪」,2,4,以大量人形进行近距离攻击，速度快破绽小，不愧是作为在缠住对手后而开发出的王牌Spell Card。,1,3,0,0,0,0,0,0,3,234
211,人偶「Lemmings Parade」,2,5,大量装载着炸药的人偶发动行军式自杀性攻击。对整个地表进行长时间的压制，威力和磨耗也很可观。只是偶尔也有反过来被对手打爆的情况。,1,4,0,0,0,0,0,0,3,240
