#スペカナンバー,スペカ名,"タイプ
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,疾风扇,1,0,以团扇卷起突风攻击。空中进行攻击时若与地面接触将产生特殊的轨道变化。,0,1,104,1,108,1,0,0,11,100
101,疾走风靡,1,1,缠绕着风向前方进行高速突击。由于以风做庇护所以移动过程中会附加擦弹属性。,0,1,105,1,109,1,212,3,11,120
102,天狗的立风露,1,4,在空中利用交叉风做出立足点，由此可以向任意方向再次跳跃并从向下放出跳跃产生的反作用力攻击。空中专用。,0,1,106,1,110,1,0,0,11,140
103,暗夜之砾,1,3,依靠呼唤来的大量乌鸦进行攻击。由于攻击间隔比较大所以很容易带入连段。需要注意由于呼唤的是普通乌鸦，所以被攻击的话乌鸦就会逃走。,0,1,107,1,111,1,208,2,11,130
104,烈风扇,1,0,以刀状的突风广范围扩散攻击。弹速虽然比较低但是范围有所增加。可以通过按键调整扩散的角度。,1,1,205,2,0,0,0,0,11,101
105,疾走优美,1,1,疾走风靡的变形版，虽失去了速度和擦弹的能力，但是可以自由转换进攻方向。　,1,1,0,0,0,0,0,0,11,121
106,天狗的Down Burst,1,4,缠绕着风迅速向下踢打进攻，着陆时会产生突风吹飞周围的东西，并且不同按键会改变突风的性质。请注意这个也是空中专用。,1,1,203,3,0,0,0,0,11,141
107,镰风 Veiling,1,3,在自己周围缠绕出风之铠的特殊技。铠会随着文一起移动，当接触到敌人时便会产生出攻击。在地、空切换移动时技能会消失。　,1,1,211,2,0,0,0,0,11,131
108,枫扇风,1,0,在前方产生出纵向延伸的小型龙卷，将对手打飞上天的射击。虽说是小型龙卷，用来牵制已经绰绰有余了。,0,1,200,3,0,0,0,0,11,102
109,天狗倒树,1,1,向前方上空飞出然后向后方发出块状风叩打对手的变化技。如果距离正好，可以达到奇袭敌人背后的效果。,1,1,206,5,0,0,0,0,11,122
110,天狗的太鼓,1,4,从所在场所跳跃并用力踩向敌人。命中之后将会向后方跳跃。可以在某种程度上操作跳跃的轨道，并且按住对应的键还能派生出追加攻击。,1,1,207,3,0,0,0,0,11,142
111,天狗砾,1,3,用风将石块吹上天，在任意的时机从敌人头顶如同降雨般落下攻击。吹上去的越多，砸下来也越多。,0,1,202,4,0,0,0,0,11,132
200,旋符「红叶扇风」,2,3,发射出直达高空的龙卷风。飞行距离很短但是敌人一旦卷进去便会无法防备地被打向空中。　　,0,3,201,4,0,0,0,0,11,220
201,龙卷「天孙降临的道标」,2,5,将自己身体周围用巨大的龙卷风包裹起来。威力高而且有无敌时间，用作反击和攻击上空敌人都很强力。,0,4,0,0,0,0,0,0,11,240
202,逆风「人类禁制之道」,2,4,在场上呼起强风，利用吹起来的飞散物来攻击敌人。风有压住敌人的效果，在向画面边缘追击的时候也比较有用。,1,4,0,0,0,0,0,0,11,230
203,突符「天狗的Macro Burst」,2,3,空中专用的卡片。将风压弹从上空向下一齐发射而出。在地表附近的风会如同漩涡般将敌人长时间卷入其中。,1,3,0,0,0,0,0,0,11,221
205,风符「天狗道的开风」,2,2,将团扇横向一闪挥出，以此从手中射出旋风的单纯射击。,0,2,0,0,0,0,0,0,11,210
206,「幻想风靡」,2,5,冲撞将敌人弹起，随后以最大加速状态进行无数次往返冲撞的超必杀。交替左右按键可调整追击高度，跟敌人高度一致时威力上升。,1,5,0,0,0,0,0,0,11,241
207,风符「天狗报当日到」,2,2,利用周围的风辅助自己的行动，从而大幅提升速度。天狗敏捷行动的要领之一。,1,3,0,0,0,0,0,0,11,211
208,鸦符「暗夜Daymare」,2,4,乌鸦群向敌人啄咬攻击。率领乌鸦是鸦天狗的基本能力，不过至于她本人拥有什么程度的召唤权限，是由类似人望的所谓鸟望所决定的。还请自行想象吧。,1,2,0,0,0,0,0,0,11,231
211,魔兽「镰鼬 Veiling」,2,1,在自身周围缠绕出风之铠。特殊的魔法铠会追随着文一起移动，当接触到敌人的时候就会产生出攻击判定。 在地、空间切换移动的时候技能会消失。,1,2,0,0,0,0,0,0,11,200
212,突风「猿田彦的先导」,2,3,单纯是疾走风靡的强化版Spell，利用风加速到最大突击敌人。依然拥有擦弹属性，并强化了速度和威力。,1,3,0,0,0,0,0,0,11,222
