#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,龙鱼的一击,1,0,将羽衣以螺旋状卷在手腕间放电对对手突进造成打击。横向距离很宽并且几乎没有破绽，衣玖中距离上的主力攻击。　,0,1,104,1,108,1,201,2,13,100
101,羽衣若水,1,2,摆出架势用羽衣实施打击，攻击时附带防御效果，反击时十分有效。,0,1,105,1,109,1,208,3,13,110
102,龙鱼的愤怒,1,4,从头上引导出落雷并在自身周围形成电流网，将接近衣玖的敌人烧伤。没有无敌时间不过好歹也是迎击型技能。,0,1,106,1,110,1,202,3,13,140
103,静电诱导弹,1,1,从手边引导并发射出直线走向的电流，持续按键可以朝向敌人改变一次进攻方向。　　　,0,1,107,1,111,1,200,2,13,130
104,龙神的一击,1,0,在羽衣周围充满成静电气流向前方一口气放出。射程有限但是从上下逃离都比较困难，持续按键可以增加放电范围。,1,1,0,0,0,0,0,0,13,101
105,羽衣若风,1,2,放出带有特殊气流的风，虽然没有威力但是能将对方弹幕的轨道弹回。善加使用可以顺势支配射击战，是从她高超的对空气的理解力而发展出的技能。,1,1,207,4,0,0,0,0,13,111
106,龙神的愤怒,1,4,引导雷击根据按键以自己或者敌人为基准落下进行攻击。持续按键可以控制落雷落下的时机。,1,1,203,3,0,0,0,0,13,141
107,龙神的电光,1,1,从后方放出电流并向敌人曲折飞去。发射的弹数多而且范围也很广，不过弯曲进攻前的弹幕没有攻击力，留心这点的话无论是用于牵制还是打击都能大放光彩。,1,1,0,0,0,0,0,0,13,131
108,龙鱼得水,1,0,将身体与风同化，从而将移动速度扩展至平时无法想象领域的高速移动技。,1,1,0,0,0,0,0,0,13,102
109,天女的一击,1,2,向上空伸展出羽衣捕捉敌人，抓住后进行电击。羽衣如同身体的一部分般可任意驱使，对于强力羽衣使来说翻花绳都是小菜一碟。 ,0,1,209,3,0,0,0,0,13,112
110,龙神之须,1,4,让雷向周围扩散的射击技。雷电可以在某种程度上通过上下键控制。据说可以用这个闪电和云中的同伴交流。,0,1,210,5,0,0,0,0,13,142
111,龙之眼,1,1,发出两颗中间带电的光球进行攻击的射击技。光球回旋所描绘出的轨道会形成复杂的攻击判定。,1,1,211,4,0,0,0,0,13,132
200,电符「雷鼓弹」,2,1,将电流聚集成球状后放出，前进到某种程度后会向周围扩散进行攻击。　,0,2,206,3,0,0,0,0,13,200
201,鱼符「龙鱼钻头」,2,3,将羽衣以螺旋状卷在手腕间以大放电状态对敌人作突进打击的Spell。本体同时向前突进的缘故，在地面拥有非常宽广的射击距离。,0,2,0,0,0,0,0,0,13,220
202,雷符「静电龙宫」,2,3,从上空向自身诱导出落雷，并在自身周围形成具有防护作用的电网。　,0,3,0,0,0,0,0,0,13,221
203,光星「光龙的吐息」,2,3,引导头上的电流形成雷球，对手一碰就会触电的对空技。,1,3,0,0,0,0,0,0,13,222
206,雷鱼「雷云鱼游泳弹」,2,2,发射出不断转换方向的闪电，在效果的持续时间里可以造成确实的牵制，仅仅能期待其击中的低威力技能。,1,3,0,0,0,0,0,0,13,210
207,羽衣「羽衣若空」,2,4,让周围气流承受攻击，在冲刺及大跳时附加回避打击的属性，让衣玖变得难以捕捉。主导节奏的不二之选。,1,4,0,0,0,0,0,0,13,230
208,羽衣「羽衣若时」,2,1,用羽衣化解攻击，使用后一定时间内，防御住攻击后按使用卡片消耗一枚手卡进行反击。手卡充足时如要塞一般。,1,3,0,0,0,0,0,0,13,201
209,棘符「雷云棘鱼」,2,3,引导电流至自身使自己变为带电状态，电击接触到衣玖的敌人，一种集攻防于一体的技能。这是常年生活在雷云里所得来的智慧吧。　　,1,3,0,0,0,0,0,0,13,223
210,龙鱼「龙宫使的游泳弹」,2,5,从羽衣中放出螺旋状的电流，本体没有防备，不过电流将作为防壁阻碍敌人行动。,1,5,0,0,0,0,0,0,13,240
211,珠符「五爪龙之珠」,2,4,描绘出由五股闪电构成的五芒星突进攻击。五芒星象征龙的五爪，对被称作龙之代言人的龙宫使来说是非常高位的技能。,1,4,0,0,0,0,0,0,13,231
