#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,无惑而生的人灵,1,0,用镰刀向地面打击射出怨灵，并在地面潜行索敌，发现对手后便垂直向上浮出地面。,0,1,104,1,108,1,0,0,12,100
101,无法超度的地缚灵,1,2,将地下灵活性化并喷出，出现的地缚灵在落下时会飘向周围，广范围地进行攻击。,0,1,105,1,109,1,0,0,12,110
102,脱魂的仪式,1,4, 交换自己与对手的位置。不仅仅是移动和迷惑的手段，还可以让对手产生破绽。在剧情模式下以及对特定的动作时无效。,0,1,106,1,110,1,0,0,12,140
103,懒惰而生的浮游灵,1,1,连射出会漂浮在画面中的怨灵弹。速度很慢，但是会随着独特的轨道飞行并徐徐追向对手。,0,1,107,1,111,1,202,2,12,120
104,死神的大镰,1,0,将镰以圆弧状瞬间挥下。射程独特，要让轨迹的内外都命中需要习惯。,1,1,206,4,0,0,0,0,12,101
105,死出之风,1,2,以回旋的镰广范围地向前方挥舞斩击，先读出对手行动而反击的话更能发挥出连续技般的威力。,1,1,0,0,0,0,0,0,12,111
106,无间之道,1,4,驱使操作距离的能力，创造出一个能妨碍对手左右移动的空间。一旦进入这个空间想要再逃走就十分困难。,1,1,211,3,0,0,0,0,12,141
107,寂寞之人的紧缚灵,1,1,让一只看起来无害的幽灵去缠绕着对手。看起来没什么用但可以通过下蹲＋强射击使其爆发进行攻击。,1,1,205,2,0,0,0,0,12,121
108,偶然路过的人灵,1,0,利用镰刀击打地面，从画面边缘发射出沿地面滑行的幽灵。通过按键的不同可以选择从前方或后方发出。偷袭或同时攻击时都十分有效。,1,1,0,0,0,0,0,0,12,102
109,三途河之舟,1,2,乘船飞出的冲撞突进技。在地上怎么开船？不过本人似乎不在意这些小事，反正船是公家的。因此经常惹上司发怒。,0,1,200,2,0,0,0,0,12,112
110,超渡体验版,1,4,乍一看是普通的挥挥镰刀，但是摆开架势时拥有扯近敌人的效果，持续按键可以延长架势时间，使逃出镰刀范围变得困难。,1,1,201,5,0,0,0,0,12,142
111,离魂之镰,1,1,汇集怨灵形成出刀刃斩击对手，触碰斩击后飞散出的灵的话，可以回收其从对手夺走的生命力，也可以当作活性爆发的种子，同时此技能本身也能用于引爆。,0,1,207,3,0,0,0,0,12,122
200,舟符「宛若流水」,2,1,召唤出少许三途河的水，并利用其驾船向别人突进的豪爽技能。本身只是单纯的突进技。,0,2,203,3,0,0,0,0,12,200
201,薄命「余命无几多」,2,5,削减敌人一半体力的恐怖技能。可见越早命中效果越大。反过来时机没抓好相对于消费量就划不来，确实很讲究运用。,1,5,0,0,0,0,0,0,12,240
202,灵符「到处都是的浮游灵」,2,1,广范围撒出幽灵射击。攻击范围很广，并且幽灵会在画面内缓缓漂浮较长时间。,0,2,0,0,0,0,0,0,12,201
203,死歌「八重雾中渡」,2,3,引导一群幽灵行军的弹幕技。幽灵会服从引导飞行，形成有伤害的弹幕。实际上是滥用职权的技能吧。,1,4,0,0,0,0,0,0,12,220
204,换命「不惜身命、可惜身命」,2,5,前所未闻的可以交换双方体力的技能。无论多么紧迫的危机也可能在一瞬之间扭转为优势。当然如此强力的Spell不会那么简单用，不仅消费很高，速度也不理想。,5,0,0,0,0,0,0,0,12,241
205,恨符「依依不舍的紧缚灵」,2,3,呼出具有强力跟踪性能的恶灵。通常情况恶灵不会攻击，仅仅会跟踪并缠绕着敌人。需要与活性爆发组合的专用技。,0,2,0,0,0,0,0,0,12,221
206,死符「区别死者之镰」,2,4,将镰刀打入地面，再从上空向对手的位置落下一发射击。会瞄准对手的位置落下，但反过来对于移动的对手很容易挥空。,1,4,0,0,0,0,0,0,12,230
207,魂符「生魂流离之镰」,2,4,放出怨灵汇集而成的刀刃，切到敌人就会飞出带有对方生命里的怨灵，小町可以回收之以间接吸收体力。本人说是不太想用的Spell。,1,3,204,5,0,0,0,0,12,231
211,地狱「无间之间」,2,3,斩击敌人的同时创造出一个能阻止对手横向移动的区域。效果时间内小町便可以完全掌握住距离。,1,3,0,0,0,0,0,0,12,222
