"#スペカナンバー","スペカ名","タイプ
0 スペルカード
1 スキルカード
2 システムカード
255　敵専用","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
0,"鲶鱼「喝喝、震撼世界了噢？」",255,3500,,3600,
1,"鲶鱼「喝喝、震撼世界了噢？」",255,4000,,3600,
2,"鲶鱼「喝喝、震撼世界了噢？」",255,4500,,3600,
3,"鲶鱼「喝喝、震撼世界了噢？」",255,5000,,3600,
4,"鲶鱼「大地也液化为泥吧！」",255,3500,,3600,
5,"鲶鱼「大地也液化为泥吧！」",255,4000,,3600,
6,"鲶鱼「大地也液化为泥吧！」",255,4500,,3600,
7,"鲶鱼「大地也液化为泥吧！」",255,5000,,3600,
8,"鲶鱼「放电也要努力哟？」",255,3500,,3600,
9,"鲶鱼「放电也要努力哟？」",255,4000,,3600,
10,"鲶鱼「放电也要努力哟？」",255,4500,,3600,
11,"鲶鱼「放电也要努力哟？」",255,5000,,3600,
12,"鲶鱼「全电气化生态哈！」",255,3500,,3600,
13,"鲶鱼「全电气化生态哈！」",255,4000,,3600,
14,"鲶鱼「全电气化生态哈！」",255,4500,,3600,
15,"鲶鱼「全电气化生态哈！」",255,5000,,3600,
16,"大鲶鱼「这样一来浮世也结束了嘿！！」",255,3500,,0,
17,"大鲶鱼「这样一来浮世也结束了嘿！！」",255,4000,,0,
18,"大鲶鱼「这样一来浮世也结束了嘿！！」",255,4500,,0,
19,"大鲶鱼「这样一来浮世也结束了嘿！！」",255,5000,,0,
248,"003 EASY",255,5000,,3600,
249,"003 NORMAL",255,5500,,3600,
250,"003 HARD",255,6000,,3600,
251,"003 LUNATIC",255,6500,,3600,
252,"004 EASY",255,7000,,3600,
253,"004 NORMAL",255,8000,,3600,
254,"004 HARD",255,9000,,3600,
255,"004 LUNATIC",255,10000,,3600,
