#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,
100,Summer Red ,1,0,火属性魔法的基本发展形，向前方发射出大型的火炎弹。贯通力和威力都很高,易于使用。但由于是直线射击，回避起来也相对容易。,0,1,105,1,110,1,0,0,4,100
101,Winter Element,1,4,水属性魔法的基本发展形，召集敌人脚底的水脉，喷射出高水压的水柱用以攻击的技能。,0,1,106,1,111,1,0,0,4,140
102,Spring Wind,1,2,木属性魔法的基本发展形，利用风压抵挡敌人的打击，并能同时拉开双方距离。,0,1,107,1,112,1,0,0,4,110
103,Autumn Edge,1,1,金属性魔法的基本发展形，利用金属元素生成出锋利的刃，并操作其向敌人发起攻击。单个威力较小，弹数多才是其卖点。,0,1,108,1,113,1,0,0,4,120
104,Midautumn spear,1,3,土属性魔法的基本发展形，从地下浮出宝石枪，再从上空落下袭击敌人。　,0,1,109,1,114,1,0,0,4,130
105,Summer Flame,1,0,火属性魔法的特殊发展形，不重视威力的向前方广范围里发出火炎攻击。所掠过的地方威力极小，但想要完全避开则需要被迫移动很长距离。,1,1,200,2,0,0,0,0,4,101
106,Condensed Bubble,1,4,水属性魔法的防御强化形，创造出可以承受对手攻击的水泡盾。水泡受到一定程度的攻击就会裂开产生出攻击，并可借此反击对手。,1,1,206,3,0,0,0,0,4,141
107,Flash Of Spring,1,2,木属性魔法的攻击特化形，从手中发射出超高压的空气块撞击对手。弹速极高，在弹道上的对手几乎不可能靠眼力来回避。,1,1,207,2,0,0,0,0,4,111
108,Autumn Blades,1,1,金属性魔法的攻击特化形，将金属元素聚集成锯齿状的圆盘刃投向对手。锯盘在上下方向的范围很宽，同时具有碰到版边就反弹的特性。,1,1,202,2,0,0,0,0,4,121
109,Emerald City,1,3,土属性魔法的防御特化形，从地下造出宝石墙壁吹飞周围的敌人。由于本体有无敌时间且范围广，用于反击时很强力。,1,1,212,3,0,0,0,0,4,131
110,Wipe Moisture,1,0,火属性魔法的物理发展形。将带状火焰如鞭子般甩出的打击技。本身并无重量，即使娇弱的她挥舞出去也能产生不轻的火焰伤害。,0,1,211,3,0,0,0,0,4,102
111,Sticky Bubble,1,4,水属性魔法的拘束特化形。喷出大量泡泡使敌人浮空的非破坏攻击。泡泡不能防御但也没有硬直，不大量命中的话没有效果。　,0,1,201,2,0,0,0,0,4,142
112,Static Green,1,2,木属性魔法的对空特化系。飞起同时从手中发出球状电流，在上下方向炸裂造成伤害。基于木属性的电流操作似乎在安全方面有很大改进的余地。,0,1,210,3,0,0,0,0,4,112
113,Fall Thrasher,1,1,金属性魔法的新攻击形态。从金属元素中炼出剑并以此飞向敌人的射击。持续按键可以把剑保持在预备状态的，同时本体可以进行其他行动。,0,1,0,0,0,0,0,0,4,122
114,Diamond Hardness,1,3,土属性魔法的耐性强化形。暂时将身体变成坚固的状态，硬化时可以忍耐住敌人一次攻击，使得无论进攻还是防守都可以变得略微强硬。,1,1,205,5,0,0,0,0,4,132
200,火金符「St. Elmo Pillar」,2,3,火、金属性的合成符。创造出高密度的热块炸向地面产生出火柱。由于射出时是打向对手脚底，所以若是对手在移动中容易打偏。,0,2,203,5,0,0,0,0,4,220
201,土水符「Noachian Deluge」,2,2,土、水属性的合成符。将压缩的水向前方吹出。不仅消费量低，弹速跟密度也很好，对射时能发挥出很好的效果。,0,2,0,0,0,0,0,0,4,210
202,金木符「Elemental Harvester」,2,2,金、木属性的合成符。在自身周围产生齿轮状的刀刃用于迎击近接敌人的防御Spell。,0,2,0,0,0,0,0,0,4,211
203,日符「Royal Flare」,2,5,生成小型太阳以光芒烧尽一切，她的最高峰魔法之一。住在吸血鬼家里还使用这样的魔法，其中必然有些因缘。,1,5,0,0,0,0,0,0,4,240
204,月符「Silent Serena」,2,4,在展开魔法阵中将月光聚成光之矢攻击敌人。魔法阵内侧是不可侵犯的领域，给与中心的帕邱莉以铁壁般的防守。,1,4,0,0,0,0,0,0,4,230
205,火水木金土符「贤者之石」,2,5,利用元素炼成魔力增幅器，魔石会对必杀技的属性产生反应，执行追加攻击进一步强化弹幕。只要在效果时间内，碎掉的魔石就能自动再生。,1,5,0,0,0,0,0,0,4,241
206,水符「Jerry Fish Princess」,2,3,装备上以水泡形成的防护壁。水泡可承受一定程度的攻击，且只要水泡存在，本体就是无敌的。由于水泡较大会失去擦弹能力，所以不要期待会有太长时间的效果。,1,3,0,0,0,0,0,0,4,221
207,月木符「Satellite Helianthus」,2,3,往上空释放出进行独立攻击的光球。光球会呈螺旋状上升并撒下弹幕进行援护。,1,2,213,4,0,0,0,0,4,222
210,日木符「Photosynthesis」,2,3,做出凝聚周围魔力的场地，只要处于内部灵力恢复就会加快，以灵力回复为首将得到各种各样的恩惠。光会缓缓追随帕邱莉移动。,1,3,204,4,0,0,0,0,4,223
211,火水符「Phlogistic Pillar」,2,3,上下方向放出火种，在地面跟天井产生广范围的火焰的卡片。火种在点燃之前没有威力，但地上与空中都能使用且范围十分宽广。,1,3,0,0,0,0,0,0,4,224
212,土金符「Emerald megalopolis」,2,4,从地下出现宝石柱群，将敌人连续打飞的Spell Card。虽然展开的速度十分缓慢，不过善加利用此效果可以长时间限制住对手的行动。,1,3,0,0,0,0,0,0,4,231
213,日月符「Royal Diamond Ring」,2,5,发出光之漩涡攻击周围。单个攻击力贫弱，但能够以其照射密度和时间压制住全场。,1,4,0,0,0,0,0,0,4,242
