#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,Close-up Magic,1,2,让匕首在周身回旋同时跳跃割伤接触到敌人的打击技。强射时附带擦弹，对上空而来的射击效果很好。,0,1,104,1,108,1,0,0,2,110
101,Bounce No-bounce,1,1,发射会在版边和上空反弹的飞刀，威力虽小但形成的弹幕可以如渔网般限制敌人的行动。,0,1,105,1,109,1,0,0,2,120
102,Magic Stars Sword,1,0,利用时间加速投出重视威力的飞刀，高速直击前方的缘故，正面对射时效果拔群。,0,1,106,1,110,1,207,2,2,100
103,Vanishing Everything,1,4,将时间暂停后移动。由于无法了解移动的过程，一般作为一种瞬移技理解。原本站着的位置上会留下纸牌，似乎是她魔术的一部分。,0,1,107,1,111,1,0,0,2,140
104,Propelling Silver,1,2,在周身设置环绕的飞刀。不仅可以作为防壁，当对手位于轨道时设置也能够发挥强力攻击的攻防一体技。,1,1,200,3,0,0,0,0,2,111
105,Square Ricochet,1,1,重视质量的弹跳飞刀。最初几乎毫无攻击力，但经过数次反弹后便会成为攻击力可观的高速贯通弹。,1,1,208,2,0,0,0,0,2,121
106,离剑之见,1,0,投出飞刀后操作时间令其滞空待机，经过一段时间后或是设置第二组时，便会恢复其原本的速度进行攻击。,1,1,212,3,0,0,0,0,2,101
107,Perfect Maid,1,4,受到对方攻击的一瞬前停止时间，移动至背后并以飞刀将其团团围住。因为注意力都放在对敌方的打击上，此时若有飞行道具过来那只有被偷袭的份。,1,1,201,3,0,0,0,0,2,141
108,Dancing Star Sword,1,2,让飞刀浮于周围，当咲夜发动攻击时会一同射出的辅助飞刀。根据打击方式的不同，飞刀的角度和速度也会有所差异。,0,1,202,2,0,0,0,0,2,112
109,Miss Direction,1,1,扔出飞刀后将其大量复制，再攻向敌方。飞刀瞄准的是对手的两侧，用以捕捉慌乱行动的对手。,0,1,206,3,0,0,0,0,2,122
110,Parallel Brain,1,0,先投掷出无实体的飞刀，随后其会在轨道上依次实体化后进攻敌人，形成捕捉范围极大的广域弹幕。咲夜做出其他行动设置便会消失。,0,1,211,3,0,0,0,0,2,102
111,Time Paradox,1,4,出现另一个咲夜攻击敌人。本体和分身出现的先后顺序会通过按键而有所差异。据说是原理是利用另一个时间的自己。,0,1,0,0,0,0,0,0,2,142
200,幻符「杀人玩偶」,2,2,广范围内撒出飞刀，之后一齐变换方向向敌人攻击。,0,3,203,5,0,0,0,0,2,210
201,时符「Private Square」,2,3,咲夜得意的时间操作Spell之一，这张卡的作用是延缓周围的时间，减慢对手的速度从而达到攻防方面的绝对优势。,0,3,204,5,0,0,0,0,2,220
202,伤符「Inscribe Red Soul」,2,3,双手执匕首对敌人实施连续斩击。尽管射程有限，但发生快、覆盖范围广且附加无敌，是几乎没有破绽的万能技。乍看是打击但实际上是射击，这点需要注意。,1,2,205,4,0,0,0,0,2,221
203,幻葬「夜雾中的幻影杀人鬼」,2,4,杀人玩偶的强化版Spell。向周围放出的小刀能准确地朝对手袭击，不仅威力高，削弹能力也很优秀。,0,5,0,0,0,0,0,0,2,230
204,「咲夜的世界」,2,5,操作时间的顶峰Spell之一。令周围的时间完全停止，从而进行单方面攻击的犯规级Spell。缺点是消费、破绽都相当的大。,1,5,0,0,0,0,0,0,2,240
205,伤魂「Soul Sculpture」,2,4,伤符的强化版Spell，威力、范围均大幅扩大。,1,4,0,0,0,0,0,0,2,231
206,银符「Silver Bound」,2,2,同时发射大量可反弹的飞刀，单个威力虽然不强，但是算上全部飞刀的范围跟弹数就相当可观了。,1,3,0,0,0,0,0,0,2,211
207,奇术「Eternal Meek」,2,2,向前方连射大量飞刀。据说没有瞄准而是随意乱扔，可惜真伪还没人能确定。,1,2,0,0,0,0,0,0,2,212
208,速符「Luminous Ricochet」,2,3,投出会在画面上反弹无数次的贯通飞刀，每次反弹后攻击判定都会恢复，结果就是可以长时间制约对手的行动。,1,2,210,4,0,0,0,0,2,222
209,时符「咲夜特制静止时计」,2,4,投射出时间停止区域，陷入其中的对手直到离开区域为止都将无法行动。,1,4,0,0,0,0,0,0,2,232
210,光速「C.Ricochet」,2,4,投出超高速飞刀，弹跳一段时间后将敌方贯穿的攻击。开始乱七八糟的反弹不过是迷惑敌人的假象，最后一发跳弹将极为精准的命中对手。,1,4,0,0,0,0,0,0,2,233
211,时符「Imaginary Vertical Time」,2,3,停止时间时投出飞刀，再靠时间复写，在轨道上产生多重飞刀创造出的弹幕。,1,3,0,0,0,0,0,0,2,223
212,时计「Lunar Dial」,2,3,投出带有停止时间作用的时计，命中对手后将会变成咲夜单方面攻击的压倒状态。,1,3,209,4,0,0,0,0,2,224
