#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,唤风,1,0,唤起神风在场上形成漩涡。虽然此时并无害，但风之漩涡会被飞翔时唤起的风推动从而产生攻击。,0,1,104,1,108,1,0,0,15,100
101,御神签炸弹,1,4,投出御神签的必杀技，根据签的内容造成的攻击效果也不一样。由于早苗本人也无法控制结果之故，具体会有什么效果只有神才知道。,0,1,105,1,109,1,203,3,15,140
102,乾神招来　突,1,2,借用神奈子神力的技能。神力将以神奈子的姿态进行攻击。性能上来说是简单易用的标准突进技。,0,1,106,1,110,1,0,0,15,110
103,坤神招来　盾,1,1,借用诹访子神力的技能。神力将以诹访子的姿态显现，生成保护早苗的水泡护盾。盾受到一定伤害或时间耗尽前会固定在被召唤出的地方。,0,1,107,1,111,1,0,0,15,120
104,起浪,1,0,发射沿着地面向左右奔走的波浪。水流将依次从地表喷出消除对手弹幕直到最大射程。随着距离增加，水流的威力也会逐渐变弱。,1,1,204,3,0,0,0,0,15,101
105,Sky Serpent,1,4,投出会化为白蛇的符纸。白蛇射出时会根据敌人的位置做直角的方向变换然后直线追击。,1,1,200,2,0,0,0,0,15,141
106,乾神招来　风,1,2,借用神奈子神力的技能。显现为神奈子姿态的神力将生成覆盖全场的突风带。风带可以被飞翔时唤出的风上下推动。,1,1,0,0,0,0,0,0,15,111
107,坤神招来　铁轮,1,1,借用诹访子神力的技能。此时显现的神力将直接对敌人进行攻击。使用这个技能后早苗能够较早的自由行动，从而可以在同时发动攻击。,1,1,0,0,0,0,0,0,15,121
108,星落,1,0,在早苗上方出现闪耀的群星，结印同时广范围向下方落下。其值得称道的范围弥补了胡乱落下的缺点。,1,1,206,2,0,0,0,0,15,102
109,Kobold Spread,1,4,投出潜入地下的符纸，当符纸到达敌人面前时将化为炸裂弹从地下钻出。潜入地下的符纸不会受到敌弹的影响，可以在射击战中起到举足轻重的作用。,1,1,201,2,0,0,0,0,15,142
110,乾神招来　御柱,1,2,借用神奈子神力的技能。神力以神奈子的姿态显现，在四周降下御柱之雨。由于早苗自身有无敌保护的缘故，是种难以化解的反击技。,1,1,0,0,0,0,0,0,15,112
111,坤神招来　陷阱,1,1,借用诹访子神力的技能。以诹访子姿态显现的神力将潜入地下，待敌人接近后再进行攻击，如同地雷一般的技能。由于拥有不能擦弹的属性，可以极大地限制对手的行动。,1,1,0,0,0,0,0,0,15,122
200,祈愿「生意兴隆守护符」,2,2,以大量符纸压制对手的技能。虽然相对于数量来说威力稍显不足，但破绽较少加上本体周围会有厚重的弹幕，使之可以随意地使用。,0,2,210,5,0,0,0,0,15,210
201,秘术「Gray Thaumaturgy」,2,2,放出五芒星形状的术印，再从中发射光弹构成的弹幕攻击。虽然弹速不快，但其较大的范围能对空中和地面的敌人都构成良好的牵制力。,0,2,202,4,0,0,0,0,15,211
202,秘术「失落的仪式」,2,4,结成巨大的五芒星印，将周围空间化为不可侵入的结界。直到效果发动需要花费较长时间，但长时间无敌也是该技的强大之处。,0,4,0,0,0,0,0,0,15,230
203,神签「乱抽御神签」,2,2,投出多发内容未知位置也不定的御神签。尽管偶尔也会对自己有害，但运气好时也经常出现超过消费的结果。,1,3,0,0,0,0,0,0,15,212
204,开海「割海成路之日」,2,3,以早苗为中心向左右发射巨大的波浪，并且可以追上行进速度缓慢的波浪进行追击。,0,3,205,5,0,0,0,0,15,220
205,开海「摩西的奇迹」,2,5,转移至上空向位于地上的敌人执行猛烈一击的打击系Spell。转移开始前都会毫无防备，但之后便会以完全无敌的状态落下攻击。就算用来强袭远距离的对手亦非难事。,1,5,0,0,0,0,0,0,15,240
206,奇迹「白昼可见的客星」,2,3,在敌人上方呼出闪耀之星攻击。持续时间内星星会向上移动同时向下飞洒星尘。,1,2,207,4,0,0,0,0,15,221
207,奇迹「客星夺目的夜晚」,2,4,向上空投射星形术印，以此引发耀眼光芒的奇迹。光芒将覆盖全场顶端，成为一种针对高处敌人的全域攻击。,1,4,0,0,0,0,0,0,15,231
210,秘法「九字刺印」,2,5,在画面上生成以九字刻印为形的巨大格状结界。不被碰触的情况下结界可以长时间存在而限制对手行动，彻底将形势扭向早苗的超大技。,0,5,0,0,0,0,0,0,15,241
