#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,古老的间歇泉,1,1,从脚下召出水流攻击。地下使出时将沿之升起，空中使出则是沿下降水进攻。,0,1,104,1,108,1,0,0,19,120
101,大蛤蟆神,1,2,放出青蛙形状的气。由于投影整体都有判定，所以即使技能自身没有无敌，也能在连段与近战中发挥出效果。可以在地下或者地面使用。,0,1,105,1,109,1,200,2,19,110
102,大地之湖,1,0,从头到脚钻进地下，利用撞击产生的冲击攻击。在地下也能使用的缘故，可以趁其不备进行突击。,0,1,106,1,110,1,0,0,19,100
103,土著神的作祟,1,4,借用祟神—赤口神的力量放出云状追踪弹。威力不高但是命中后会诅咒敌人，赋予对手异常状态。等级提高后即使防御也无法阻挡诅咒。,0,1,107,1,111,1,0,0,19,140
104,水蛙神,1,1,从帽子里的水中放出青蛙在地面上弹跳行进，接近敌人后会产生大爆炸。行进速度不快正好可以用来构成连携。,1,1,206,4,0,0,0,0,19,121
105,古老铁轮,1,2,旋转放着光的铁轮，一边移动一边攻击的打击技。空中或是下蹲状态时可以使用，是牵制头上敌人和对空压制的关键。,1,1,204,2,0,0,0,0,19,111
106,古代翡翠,1,0,从地下收集闪亮的翡翠，再作为高速弹丸向敌人打出。尽管射出前有不小的延迟，但威力和射速都还不错。可以在地下和空中使用。,1,1,205,4,0,0,0,0,19,101
107,诅咒的大地,1,4,在自己脚下展开赤口大神的力量，在地上设置诅咒的涡流。进入其中的对手会被赋予异常状态。,1,1,208,5,0,0,0,0,19,141
108,招雨的雨蛙,1,1,从上方如喷壶一般撒下大量水弹的攻击。攻击密度高且范围广，较为无责任的射击。,1,1,201,2,0,0,0,0,19,122
109,长手长脚神,1,2,从手足发射四道追尾光束。只能在空中使用。光束的捕捉范围可达全画面。,1,1,207,3,0,0,0,0,19,112
110,蛙石神,1,0,乘着蛙形状的岩石突进。威力较高的下段技，若距离掌握得当即是被防也不易被反击。空中发动时会转移到地下发动。,1,1,202,3,0,0,0,0,19,102
111,赤口大神的作祟,1,4,使用后会以所有该系列的技能无法发动为代价，在对手做出特定行动时会给予防御降低的惩罚。,1,1,212,3,0,0,0,0,19,142
200,土著神「洩矢神」,2,3,在周身超绕出巨大的蛙形气场，弹飞周围敌人的近距离攻击。不仅拥有无敌，同时发生速度快且判定强力，所以也可作为防御的手段。,0,2,209,3,0,0,0,0,19,220
201,源符「诹访清水」,2,2,吹出气息化为破坏性水流的射击系 Spell Card。作为射击技拥有相当高的性能，可以在下蹲或空中使用。,0,2,203,4,0,0,0,0,19,210
202,开宴「二拜二拍一拜」,2,3,出现巨大的岩石手臂，以合掌般动作压溃敌人的打击技。也可在地下用于奇袭，需注意破绽有点大。,0,3,0,0,0,0,0,0,19,221
203,土著神「小青蛙不惧风雨」,2,3,乱射出暴风般的水弹，洒出的水将在较长时间内落向周围妨碍对手行动。,1,4,0,0,0,0,0,0,19,222
204,神具「洩矢的铁轮」,2,2,投掷会在画面中来回弹跳的铁轮。同时往广范围里投出三个的，几乎令人无处可逃的优秀射击技。只是需要注意一旦本体被打铁轮就会消失。,0,2,0,0,0,0,0,0,19,211
205,源符「厌川的翡翠」,2,4,从画面后方召来巨大激流的Spell  Card。对创造大地的她来说，弯折河川不过是家常便饭——全盛期的话。,1,4,0,0,0,0,0,0,19,230
206,蛙狩「蛙鸣引蛇」,2,4,从地面飞出蛇状岩石将对手生吞入腹的射击技。发生较慢但不可空防。作为蛙神的她会使用蛇的造型是出于对神奈子的对抗心吗？,1,4,0,0,0,0,0,0,19,231
207,土著神「手长脚长大神」,2,4,大字形展开后从手足释放神力的射击攻击。除了正侧面别无死角的无敌技，可惜射程不长也只能在空中使用。,1,3,0,0,0,0,0,0,19,232
208,祟神「赤口大神」,2,5,将对手交于从属的祟神赤口大神手中。一旦被诹访子周围扩展开来诅咒之土所困便无处可逃。,0,5,0,0,0,0,0,0,19,240
209,土著神「宝永四年的赤蛙」,2,4,生成两个跟踪攻击的分身，虽然本体会长时间无法行动，但此时分身会细细的到处追赶敌人。,0,3,0,0,0,0,0,0,19,233
212,蛙「全年皆可的冬眠」,2,4,只能在地下使用的技，就地冬眠回复体力。虽破绽极大容易在出现的场所被反击，但由于可以使用地下技复归的缘故，所以出现前可以先观察下卡组再做决定。,0,3,0,0,0,0,0,0,19,234
