"#String Key","Translated String"
"failInit","Failed to initialize初始化失败"
"d3d.failCoopLevel","Failed to set cooperation level"
"d3d.failDisplay","Failed to get display mode"
"d3d.failDevice","Failed to create D3D device"
"d3d.failObject","Failed to create D3D object"

"dinput.failCreate0","Failed to create DirectInput object #0"
"dinput.failCreate1","Failed to create DirectInput object #1"
"dinput.failDataFormat","Failed to set data format"
"dinput.failKeyboard","Failed to initialize keyboard"
"dinput.failQueue","Failed to queue device"
"dinput.failMouse","Failed to initialize mouse"
"dinput.failProps","Failed to set properties"

"dsound.failBuffer","Failed to get DirectSoundBuffer8请检查音频输出设备"
"dsound.failBuffer3D","Failed to get DirectSound3DBuffer8请检查音频输出设备"
"dsound.failBufferLock","Failed to lock buffer请检查音频输出设备"
"dsound.failCreateListener","Failed to create listener请检查音频输出设备"
"dsound.failCreateObject","Failed to create DirectSound object请检查音频输出设备"
"dsound.failCreatePrimary","Failed to create primary sound buffer请检查音频输出设备"
"dsound.failCreateTemporary","Failed to create temporary buffer请检查音频输出设备"
"dsound.failInit","Failed to initialize DirectSound object请检查音频输出设备"

"socket.failInit","Failed to initialize socket网络初始化失败"
"socket.failPort","Failed to bind port端口冲突 请开任务管理器清理后台th123.exe"

"replay.delete","是否删除 Replay？"
"replay.deleted","Replay 删除成功"
"replay.failFolder","创建 Replay 失败"
"replay.failDelete","删除 Replay 失败"
"replay.save","是否保存 Replay?"
"replay.saved","Replay 已保存！"
"replay.returnSelect","返回角色选择界面，是否保存 Replay?"
"replay.returnTitle","返回标题，是否保存 Replay?"

"netplay.allowSpec","是否允许观战？"
"netplay.confirmAddress","是否连接此IP？"
"netplay.confirmMatch","是否加入对战？(选否以观战)"
"netplay.failConn","连接失败！"
"netplay.failSpec","不允许观战！"
"netplay.failStart","对方还未连接对战，无法观战"
"netplay.failPlaying","已在对战中！"
"netplay.failPlayingSpec","对方已开始对战，是否观战？"
"netplay.selectAddress","连接到（最好使用复制IP的方法）"
"netplay.selectPort","请输入建主端口（默认10800）"
"netplay.selectPrevious","连接历史IP..."
"netplay.selectSaved","连接 address.txt 内的IP..."
"netplay.waitHost","等待连接中..."
"netplay.waitClient","连接中..."

"story.continue","是否继续？  剩余 %d."

"profile.confirmCopy"," 将被复制"
"profile.confirmDelete"," 将被删除"
"profile.confirmOverwrite"," 是否修改？"
"profile.confirmSave","是否保存修改？"
"profile.copied","机签复制成功"
"profile.created"," 创建成功"
"profile.deleted","机签删除成功"
"profile.fail20Cards","卡组必须有卡片整20张！请检查所有卡组！"
"profile.failCreate"," 机签创建失败"
"profile.failCopy","机签复制失败"
"profile.failFolder","创建profile文件夹失败"
"profile.failDelete","机签删除失败"
"profile.failName","重命名失败"
"profile.nameChanged","重命名成功"

"pattern.0","0 1 2 3 4 5 6 7 8 9<br>^<br>     .      .      .      : "
"pattern.1","%s - %s  %03d/%03d  Time %02d.%02d"
"pattern.2","<color 808080>? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? </color>"
"pattern.3","%d  <color FF8080>%d</color>  /%d<color FF8080> /%d</color><br>"
"pattern.4","<color 808080>? ? ? ? ? ? ? ? </color>"
"pattern.5","<color 808080>? ? ?</color>"
