"#ファイル名","曲名"
"data/bgm/op2.ogg","你看见那个巨影了么"
"data/bgm/select.ogg","萃梦想"
"data/bgm/ta00.ogg","日常坐卧"
"data/bgm/ta01.ogg","甲论乙驳"
"data/bgm/ta03.ogg","风光明媚"
"data/bgm/ta05.ogg","以鱼驱蝇"
"data/bgm/ta04.ogg","冷吟闲醉"
"data/bgm/ta06.ogg","暮色苍然"
"data/bgm/ta20.ogg","传说的巨神"
"data/bgm/ta21.ogg","我们的非想天则"
"data/bgm/ta22.ogg","人偶的风景"
"data/bgm/sr2.ogg","久远的蒸汽机关"
"data/bgm/st30.ogg","信仰是为了虚无的人类"
"data/bgm/st31.ogg","快活的恋爱少女"
"data/bgm/st32.ogg","上海红茶馆　～ Chinese Tea"
"data/bgm/st33.ogg","灵知的太阳信仰　～ Nuclear Fusion"
"data/bgm/st34.ogg","明日之盛，昨日之俗"
"data/bgm/st35.ogg","未知物体Ｘ　～ Unfound Adventure"
"data/bgm/st36.ogg","浮游于空的物体Ｘ"
"data/bgm/st40.ogg","二色莲花蝶 ～ Ancients"
"data/bgm/st41.ogg","恋色魔法"
"data/bgm/st42.ogg","the Grimoire of Alice"
"data/bgm/st43.ogg","巴瓦鲁魔法图书馆"
