#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,坤仪之剑,1,1,将气质打入地下使地面隆起，威力高而且左右的判定范围很广，只是对于上空的敌人效果不大。,0,1,104,1,108,1,200,2,14,120
101,天罚的石柱,1,4,将要石落下形成攻击。等级上升后要石会拥有充当强力盾牌的机能。,0,1,105,1,109,1,0,0,14,140
102,非想之威光,1,0,从要石里将气质以针一样尖锐的激光状飞行道具连续发射而出，面对敌人射击的贯通力十分强力。,0,1,106,1,110,1,0,0,14,100
103,非想之剑,1,2,随着踏出的脚步利用绯想之剑一闪攻击。移动过程中有擦弹判定，可无视弹幕向前强行突进。,0,1,107,1,111,1,0,0,14,110
104,六震―相―,1,1,将绯想之剑打入地面产生局部地震的全地面攻击，只要对手在地上攻击就有效，并且不能进行擦弹回避；相反对于空中的敌人毫无作用。,1,1,203,4,0,0,0,0,14,121
105,守护的要石,1,4,利用要石在周围守护来回避弹幕。装备状态下可以再次输入指令使要石飞向敌人攻击。,1,1,206,3,0,0,0,0,14,141
106,天地之压,1,0,用石头夹击敌人。通过按键可以调节石头的间隔及位置。,1,1,205,4,0,0,0,0,14,101
107,绯想之剑,1,2,利用绯想之剑胡乱地来回斩击。攻击范围虽小，但是每次判定都很强，近战攻击时简单易用。连续点键可以维持在攻击状态。,1,1,208,2,0,0,0,0,14,111
108,因果之剑,1,1,将绯想之剑豪爽投出的射击技，剑会像回旋镖般回到手上。如果使用用剑的技能瞬间就会返回；注意靠普通方法返回时，接到剑的时候会由于反作用力产生破绽。,0,1,201,2,0,0,0,0,14,122
109,地精的起床,1,4,向地面打进一块小型要石。要石会随着时间长大，天子的打击破坏它时将产生地震。随着石头增长地震也会更大，但成长过度的话石头会自行崩坏。,0,1,0,0,0,0,0,0,14,142
110,绯想剑气,1,0,利用绯想之剑操纵气质飞出的射击。第一剑将近处的敌人打飞，第二剑则是将远距离的敌人打落的二段射击。,0,1,209,3,0,0,0,0,14,102
111,升天突,1,2,缠绕着气质向上空的冲撞，只有身体强韧的天人才能使出的攻击。地面使出的瞬间带有无敌，同时飞上空中后还可自由行动。,0,1,202,3,0,0,0,0,14,112
200,地符「不让土壤之剑」,2,2,将气质打入地下使地上产生大的隆起并向左右攻击。隆起的土地前进比较缓慢，相对的技能产生的僵直也较小。,0,2,0,0,0,0,0,0,14,210
201,非想「非想非非想之剑」,2,2,绯想之剑所具备的力量之一，施加气质封印的Spell Card。被斩到的敌人在一定时间不会受到一切天气的影响，根据当前天气可以创造出有利局势。,0,2,204,4,0,0,0,0,14,211
202,天符「天道是非之剑」,2,3,用绯想之剑摆出架势并向上空进行突击。虽然没有命中时破绽大得令人绝望，但是作为无敌技来说该有的已经齐全了。,0,3,0,0,0,0,0,0,14,220
203,地震「先忧后乐之剑」,2,5,将剑刺入地面使地壳产生运动，稍过一段时间便产生地震并给予地上的敌人以伤害。在地上无处可逃但对空中毫无效果且发动后有延迟的独特Spell。,1,4,0,0,0,0,0,0,14,240
204,气符「天启气象之剑」,2,4,绯想之剑所具备的力量之一，以剑为载体聚集周围气质并释放的Spell Card。在有天气的时候威力提高，但同时也会强行终止现有的天气。,1,4,0,0,0,0,0,0,14,230
205,要石「开天辟地之压」,2,5,往画面上空飞高到看不见，并抱着巨大化的要石一口气落下压向对手的乱来技能。,1,4,0,0,0,0,0,0,14,241
206,气符「无念无想的境界」,2,4,在一定时间提升自身的强度。虽然持续时间内不能防御，不过被打到也没有硬直。其实据说只不过是憋住气强忍住不喊痛罢了。,1,3,0,0,0,0,0,0,14,231
207,「全人类的绯想天」,2,5,将周围的气质凝缩在绯想之剑上，并向下方一口气放出的超大技。需要注意发动时将会把周围的气质全部使用掉。,1,5,0,0,0,0,0,0,14,242
208,剑技「气焰万丈之剑」,2,3,绯想之剑来回挥舞将对手大卸八块的打击技。由于只是乱砍一通，能不能叫做技能还值得商榷。,1,2,0,0,0,0,0,0,14,221
209,天气「绯想天促」,2,3,放飞出气质攻击的射击技。当气质命中对手时会扩散到周围，将天气活性化从而使天气玉变化。,1,3,207,5,0,0,0,0,14,222
