#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,Flare Up,1,2,向周围放出核聚变能量，螺旋状上升烧尽周围的敌人。高等级的话本体也会产生判定。,0,1,104,1,108,1,0,0,18,110
101,Ground Melt,1,0,用制御棒收束出热线向地表扫射的射击技。热线本身没有攻击力，但会令地面爆炸并产生攻击。,0,1,105,1,109,1,0,0,18,100
102,Break Sun,1,4,在头顶创造出太阳般的发光体，用弹开的余波对敌人攻击。持续按键能使发光体成长并产生更加强力的攻击。,0,1,106,1,110,1,212,4,18,140
103,Shooting Star,1,1,在画面中向上漂浮移动，并在轨道上撒出略作停留后飞散的能量弹。尽管本人只想着移动，并没有攻击的自觉。,0,1,107,1,111,1,0,0,18,120
104,Rocket Dive,1,2,使用核聚变能量作为推力的突进技。虽然判定强威力高，不过要从画面外飞回来的关系破绽较大是个问题。,1,1,209,3,0,0,0,0,18,111
105,Hell Gasser,1,0,在地下产生核聚变，令其产生的能量从地面喷出攻击。倾斜发射且与敌人飞走的方向为准的关系，连段中使用时需要注意其特点。,1,1,207,3,0,0,0,0,18,101
106,Shooting Sun,1,4,在头顶集束核聚变能量，而后将其叩至地面产生爆炸。能量体可以按空的意思在某种程度下保持稳定状态，所以直到爆炸都不会受到其他射击的影响。,1,1,205,3,0,0,0,0,18,141
107,复古原子核模型,1,1,发射在空周围回旋跟踪的能量弹。弹丸既可作盾又可为武器，使出后便可占有优势。对不拘小节的空来说是十分便利的技能。,1,1,203,2,0,0,0,0,18,121
108,溶解转体踢,1,2,将敌人扣倒在地，再从掌管分解的左脚直接注入能量。投技的一种，不可防御但是对蹲着的对手会一脚踢空。,1,1,211,2,0,0,0,0,18,112
109,Radiant Blade,1,0,边填充能量同时接近，待距离合适后再向对手放射攻击。突进技和射击技的中庸形态，用于削减对方灵力十分有用。,1,1,208,2,0,0,0,0,18,102
110,地狱波动炮,1,4,散布出能根据自己意思向前定向集中攻击的光弹。持续按键可以调整扩散程度，当蓄满时将放出射线而非光弹。,1,1,200,3,0,0,0,0,18,142
111,核热的怨灵,1,1,弱攻击设置核标志，强攻击令核标志以自己和标志连线的延长线方向乱射出能量弹。射出开始后若本体移动弹道也会随之改变。,1,1,213,2,0,0,0,0,18,122
200,爆符「Mega Flare」,2,3,收集并发射核聚变能量。空的能力最简单直接的使用方式，几乎不可正面与之抗衡的高火力射击。,0,3,201,4,0,0,0,0,18,220
201,爆符「Giga Flare」,2,5,释放出大容量的核能烧尽前方一切。无论范围还是威力都无可挑剔，只是正如所看到的，后方会有很大空隙。,0,4,0,0,0,0,0,0,18,240
203,焰星「Fixed Star」,2,3,向对手投掷连成环状的核能。发射出的核能环前进一定程度后会开始返回，再从背后偷袭敌人。,1,2,204,4,0,0,0,0,18,221
204,焰星「十凶星」,2,4,控制稳定成球状的核能，以回旋轨道进行攻击。范围覆盖周围及上方的缘故，用作防御其效果也值得期待。,0,4,0,0,0,0,0,0,18,230
205,核符「Creeping Sun」,2,3,在上空产生出核聚变反应。反应生成的能量将形成太阳般的光球，成长到足够大后朝下方进行定向攻击。,1,3,0,0,0,0,0,0,18,222
206,「地狱的人造太阳」,2,1,向前方发射出具有吸引能力的能量体，空将向其中间断注入能量，将使用所有手牌的大规模攻击。,1,5,0,0,0,0,0,0,18,200
207,地热「核炎井」,2,4,将核能打进地面，令岩浆从地面接连喷出的大技。岩浆会连续向新的喷出口移动攻击。,1,3,0,0,0,0,0,0,18,231
208,光热「High Tension Blade」,2,3,从制御棒中放出剑刃状热能。射程有限但由于接近后才会开始发射，所以实际有效范围并不短。偶尔也会有当作手电筒用——快来个谁阻止她啊！,0,2,0,0,0,0,0,0,18,223
209,鸦符「八咫乌俯冲」,2,4,在体内产生核聚变反应，以耀眼大鸟状向地上突袭。也有让敌人知晓地狱鸦从不逃跑的作用。,0,3,210,4,0,0,0,0,18,232
210,核热「核反应失控冲击」,2,4,将核聚变能量大量转化成推进力进行突进。在画面左右来回穿梭，往返撞击敌人。,0,4,0,0,0,0,0,0,18,233
211,制御「Self Tokomak」,2,2,将核聚变产生的能量循环在周身，并在飞翔、前Dash接近对手时活性化。由于需要精密操作，以空的鸟头一旦思考其他攻击就无法维持下去了。,1,2,214,5,0,0,0,0,18,210
212,「Subterranean Sun」,2,4,从地底引导出能量，当场创造出太阳的技能。太阳会出现在固定的场所灼烧四周。,0,4,0,0,0,0,0,0,18,234
213,遮光「核热护盾」,2,2,在前方产生出屏障。屏障在经过一定次数的攻击，或是持续时间结束之前都将维持在空的前方。,0,2,206,5,0,0,0,0,18,211
214,「Abyss Nova」,2,5,让核能在体内循环增幅，当超过临界时空便化作将周围一切都燃烧殆尽的灼热太阳。太阳的判定极广且防御不能。对空来说也是相当热的技能。,0,5,0,0,0,0,0,0,18,241
