#スペカナンバー,スペカ名,"タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード",消費,"カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％",,,,,,,,sort
100,幽蝴蝶,1,1,从手中发射幽灵弹，当触碰到画面边缘后即化为追踪敌人的蝴蝶状弹幕，将其团团包围。,0,1,104,1,108,1,206,3,7,120
101,未生之光,1,0,发射五股激光。放射状散开的缘故，距离越远覆盖范围越广。,0,1,105,1,109,1,0,0,7,100
102,悉皆彷徨,1,3,呼出大量幽灵构成轮形，移动或是停滞的幽灵轮将伤害触碰到的对手。,0,1,106,1,110,1,0,0,7,130
103,蝴蝶梦之舞,1,2,向前方突进后使用两手的扇子攻击。和平时缓慢的行动截然不同的快速突进技。强射击版动作更大但是附带擦弹。,0,1,107,1,111,1,0,0,7,110
104,好死之灵,1,1,幽蝴蝶的变形技，接触画面边缘的幽灵化为光束进行攻击。,1,1,200,2,0,0,0,0,7,121
105,凤蝶纹之枪,1,0,发射收束成刃状的妖气，并在发射时将多余的妖力化为蝶状追随着枪的轨迹前进攻击。难道真的是事先就计算好了的吗？有点诡异的技能。,1,1,207,4,0,0,0,0,7,101
106,诱灵的甘密,1,3,同时发射出诱导幽灵的发光体以及随之前进的幽灵。可以通过方向键操作发光体的位置从而间接控制幽灵进行攻击。持续按键可延长操作时间。,1,1,208,3,0,0,0,0,7,131
107,逆转屏风,1,2,向后翻身的同时对前方实施打击。拥有无敌威力也很高，但对前方判定范围极短，对手不攻过来的话几乎无法命中。可以说是反击专用技。,1,1,0,0,0,0,0,0,7,111
108,Sphere Bloom,1,1,以类似鞭子的形状撒出光粒，随后如樱花般飞散攻击敌人。强射击则会变为纵向撒出。,1,1,202,2,0,0,0,0,7,122
109,死还的大地,1,0,放飞出潜入地下往返向前移动攻击幽灵的射击技。是种利用幽灵捉摸不透特性的特殊射击技。,0,1,201,2,0,0,0,0,7,102
110,故人的遗物,1,3,向上空飞起抱住敌人的投技。命中时将会让幽灵凭依上敌人产生攻击。吃过这一招的人感想大抵是「肚子突然变得超饿」之类的。,0,1,219,5,0,0,0,0,7,132
111,Sense of Elegance,1,2,原地回转后用扇子顺势向上挥击。舞蹈般的动作拥有勾人魂魄的危险魅力。,0,1,209,4,0,0,0,0,7,112
200,死符「Ghastly Dream」,2,2,以圆形发射大量蝴蝶弹。完全掩护住周围且有无敌，是反击的基本卡片。,0,2,203,5,0,0,0,0,7,210
201,冥符「黄泉平坂之行路」,2,1,从手中形成连通冥界的简易门，大量幽灵随后会从中向前杀去。虽说有组织，但毕竟散漫的幽灵是不能指望其每次的轨道都能一样的。,0,2,204,4,0,0,0,0,7,200
202,灵符「无寿之梦」,2,2,将幽灵凭依在对手身上削减其体力。需要注意当幽幽子受到伤害无法控制幽灵时凭依会解除，从而造成总伤害降低。,0,2,205,4,0,0,0,0,7,211
203,死蝶「华胥的永眠」,2,4,在周围卷起蝶弹的暴风，蝶状弹幕将在幽幽子周围回旋后再向全画面飞散。,1,5,0,0,0,0,0,0,7,230
204,再迷「幻想乡的自黄泉归」,2,5,在地表打开冥界大门的大技。门里将不停杀出幽灵攻击敌人，同时门会缓缓追踪对手，极大的限制其行动。,1,4,0,0,0,0,0,0,7,240
205,寿命「无寿国的约束文书」,2,4,放出幽灵凭依在敌人身上，虽然这个阶段是无害的，但在幽灵全部消失的瞬间就会产生出攻击。需要注意在倒数结束前幽幽子受到攻击的话，凭依就会解除。,1,4,0,0,0,0,0,0,7,231
206,灵蝶「若蝶之风暂留人世」,2,2,幽蝴蝶的广范围版。全方位发射会在版边变为蝶弹的幽灵。幽灵本身并没有攻击力但利用时间差进行同时攻击是再好用不过了。,1,3,0,0,0,0,0,0,7,212
207,蝶符「凤蝶纹的死枪」,2,4,从背后张开扇子，向前方乱射出光束和蝶弹。,1,4,0,0,0,0,0,0,7,232
208,幽雅「死出的诱蛾灯」,2,3,大量幽灵构成轮状向敌人位置徐徐缩小。直接命中虽然不易，但用于限制敌人自由行动的效果很强。,1,3,0,0,0,0,0,0,7,220
209,樱符「Sense of Cherry Blossom」,2,5,以螺旋状集炼大量妖力后，再向上空一齐放出的打击系Spell Card。尽管准备略为费时，但威力以及范围都是蝴……胡扯般的大。,1,4,0,0,0,0,0,0,7,241
219,「返魂蝶」,2,3,在周围延伸出光带以及飞舞而上的蝶弹。开始性能较弱，但随着多次使用会变得愈加强力的Spell Card。,1,5,0,0,0,0,0,0,7,221
