100,"狂乱炬火 -狂暴-","从火炬中射出一团火花。火花会随着时间增大体积，任何被包裹其中的人都会因之陷入疯狂而不由自主地攻击。（6A）"
101,"月球坠击","将一个月球弹幕重重落到地上。月球的落点处不能擦弹。"
102,"地狱条纹","不断放出向上移动的红色激光束。既然是火力强劲的攻击，相应地准备时间也比较长。"
103,"星光亮片","不断地召唤星星。和条纹系技能搭起来用会很好看。"
104,"狂乱炬火 -混乱-","可在空中使用，从火炬中射出一团火花。火花会随着时间增大体积，任何被包裹其中的人都会因之陷入疯狂而不由自主地做出某种攻击。（3A/J8A）"
105,"月之马戏","跳上一个小月球然后踏着它前进。持续按键以让皮丝表演更久的马戏。"
106,"箱庭条纹","不断放出从场地底部扩张的红色激光束。既然是火力强劲的攻击，相应地准备时间也比较长。"
107,"群星编队","发射数波星星。朴实的技能，整齐的繁星。"
108,"狂乱炬火 -歪曲-","放出一个载着炬火火花的魔法圈。长按按键可以延后攻击的时间。放出之后，火花升空并随着时间增大体积，任何被包裹其中的人都会陷入疯狂。（J2A）"
109,"Shooting Moon","发射一颗月球弹幕。简单暴力的攻击，在弹幕相杀中具有较大优势。"
110,"Dyson Cell","以红色激光束框出一片区域。这可不像戴森球一样能吸收能量。"
111,"马戏之星","跳到空中并向前摆动，进行空中马戏的表演。但皮丝既然能飞行，那这样做有何意义？"
200,"「Fake Launching」","发射一个密度极高的弹幕月亮。尽管消耗少又厉害，但它的命中需要一定的角度。如果未命中，月亮将会在射程极限处停留一段时间，这也许能给对手带来一定干扰。"
202,"「阿波罗捏造说」","造出三个在场地中央不断旋转的巨大月球弹幕。它们当然是假的，不过鉴于它们是弹幕还是不建议直接靠近它们。"
203,"炬火「Hell Quasar」","向炬火吹出强风，以火炎攻击对手。似乎威胁性不大，但若是擦弹经过之将快速损耗灵力。"
204,"「Moon Landing」","创造出巨大的月球弹幕打向地面。这一击的威力足以改变地形。且会在冲击点持续施加压力，而月球的密度也使得它不可擦弹。"
205,"炬火「Hell Blazar」","将炬火吹向对手。被击中的对手将会陷入疯狂，不由自主地做出行动。依据对手的不同位置可以使对手做出不同的攻击动作。"
206,"小丑「月之马戏」","跳上一个大月球然后踏着它前进。虽然是个马戏表演，但是出于某种原因对手似乎并没有被逗乐。这一招有些许的无敌帧，因而适用于打断对手攻击。"
207,"地狱「繁星深渊」","发射一连串的星星。星星的排布很单一，使得它们更容易回避。"
208,"「Welcome Hell」","唤出业火呑噬整个战场。靠近地面的对手将持续损失体力。待在空中避开这一招会是一个好选择。"
209,"「Super Soldier Elixir」","服下一定剂量的地狱妖精过载剂，毎次服用都将增强克劳恩皮丝的攻击力与防御力。不过服用过量会导致副作用，还请一定小心服用。唔？队长？盾牌？是在说什么呀？？"
210,"火箭「Dyson Square」","用红色激光束将对手周围的一大片区域封住。它不像戴森球一样能吸收能量，但是却能阻隔弹幕。"
211,"地狱「条纹状的深渊」","不断放出从版底向上移动直到空中的红色激光束。范围超大的攻击。"
