100,"Demon Lord Leap","以吸血鬼的体能进行快速飞跃。在过程中可以自由移动，是个灵活的招式。"
101,"斯卡雷特激光","使用魔法阵发射多重光束，标准的强效魔法攻击。"
102,"莱瓦汀斩","使用“武器”向前旋转着攻击。之所以给“武器”一词打上双引号是因为我们仍然不知道那到底是把剑还是一根法杖。"
103,"Demon Lord Arrow","后退飞到后面的墙壁上，对准后向对手的方向突进攻击。突击时具有回避弹幕的能力。"
104,"Vampire Claw","重复输入可以出现三次连续的攻击，全部命中的话威力会很高。"
105,"二重存在","将自己的分身射出追猎对手。长按可增加追逐距离。"
106,"邪恶十字","把自身包裹在形如十字架的绯红气场中。这一点上芙兰并不如蕾米做的那样好，所以这不算是张符卡。"
107,"Ground Fear","首先向天花板飞行并倒吊其上，随后以高速垂直落下并产生冲击波攻击。"
108,"威猛恶魔","在攻击的同时向前冲刺。芙兰并不像蕾米那样注重技巧，而是更专注于火力与速度。"
109,"狡猾蝙蝠","召唤一群蝙蝠从背后攻击对手。蓄力可增加召唤数。"
110,"Vampire Bite","抱住敌人吸取其鲜血的投技。会往前运动因此捕捉范围较广。使对手无法防御的同时还可回复自身体力，正确使用时能给对手造成很大的压力。"
111,"Stigmanizer","将魔力凝缩为十字形，并于跳跃时投出。这招是在学自己的姐姐。"
200,"禁弹「彩虹破碎」","星弧破碎的弱化版，发射彩虹状的弹幕。虽然看似美丽，但还请千万不要靠近它。"
201,"恶魔「死亡凝视」","芙兰向下凝视并尝试去摧毁远处的对手。如果对手站位不佳，那么就没法避开这一招。"
202,"夜符「Demon King Cradle」","活化吸血鬼身体能力的直接攻击系符卡。虽然没有无敌不过在上空可自由行动。"
203,"禁弹「星弧破碎」 ","发射星弧状的弹幕。传闻在彩虹的彼端能找到好运。"
204,"「崩坏人偶」","死亡凝视的升级版。芙兰开始运用能力来摧毁事物，不过也仍然尽力保证能力不要暴走。"
205,"禁忌「莱瓦汀横扫」","创造出巨大化的莱瓦汀，然后带着它飞越整个屏幕。威力虽然巨大，但难以控制，精度很低。"
206,"夜符「Bad Girl Scramble」","敏捷地飞向墙壁，再向对手螺旋状突进。对弹幕的贯通力很高，向后方移动时也能起到迷惑敌方的效果。"
207,"禁忌「四重存在」","放出四个自己的分身追击对手。这些分身很擅长追人，所以难以闪避。"
208,"「千年吸血鬼」","给自己附加能夺取对手生命力的魔力，一定时间造成的伤害的一部分将变为自己的体力。虽然效果很强大不过会导致防御力下降，正是可谓的双刃剑。"
209,"禁忌「莱瓦汀」","芙兰用手中的武器劈向对手。这个攻击十分强大而且不能空防。"
