100,"纠缠之根","用根束缚住对手的脚。这能定住对手一段时间。"
101,"幻想乡又开花","在整个场景的范围里种下向日葵。向日葵自种下后将不断生长并最终发射出强力的光束。"
102,"静电火花","发射一道短距离的激光攻击对手。这一招的消耗很低，所以能以蓄力来保持攻击状态。"
103,"唤雨","随风飞向一边，同时在身后召唤出雨滴。这些雨滴具有一定危险性。"
104,"阳伞冲撞","幽香带着阳伞旋转冲向前方。这一招在使用过之后需要等待一段时间，但是它擦弹的速度极快，所以这仍是一个不错的技能。"
105,"红玫瑰与紫罗兰","种下一片花丛，一段时间后爆炸，所生长的花的种类将由按键决定。红玫瑰伤害高且可以一击破防；紫罗兰则是不能防御"
106,"黄金月季","种下一丛黄金月季。成熟后这些月季将爆炸攻击对手，一旦命中伤害极高。"
107,"守护精灵","召唤一只守护妖精。它们并不攻击对手，但它们对抵御弹幕很在行。"
108,"恶魔倾向","将对手击倒后蹂躏。这是一个投技，所以无法被防御；对手将成为幽香的俎上鱼肉。但是失败的话会露出很大的破绽。"
109,"手心之树","幽香在向前冲刺的同时从视野中消失。接近对手后，幽香便张开手掌从中发射出一道能量波。"
110,"花园狂热","为场上的花朵提供活力，加速它们的生长。花肥的力量吗？可在空中使用。"
111,"鲜花大炮","B版放置一朵飘浮的鲜花。C版命令鲜花瞄准对手发射短程花瓣攻击。虽然鲜花不会枯萎，但是需要幽香的魔力支撑。"
200,"阳伞「Parasol Wave」","以阳伞发射能量波弹幕。由于幽香的强大，波纹的大小会比阳伞的实际大小要大。"
201,"「Dual Spar」","放出一个分身，然后与分身一同以最大火力使出极限火花。如果接下一发极限火花已经不可能存活，那麼双重火花就会是絶望的代言人。"
203,"花符「太阳之花」","向对手掷出一个弹幕之环。虽然看起来像一朵大太阳花，但实际上完全不是。"
204,"花符「束缚之根」","用根束缚对手。这一招并不强但是如果敌人被抓住的话伤害会很高。"
205,"魔符「Vile Spark」","发射一道巨大的激光攻击对手。由於幽香拥有极大的力量，儘管这个攻击对準的是下方，但仍具有极大的覆盖范围。"
206,"「Master Spark」","发射一束巨大的激光。并可将手中的卡片用于充能，如果能量输出功率达到一定程度，这将会是极强的一招。"
207,"「Garden of the Sun」","在整个场地间种下花朵。一旦长成，这些花朵会放出一道能与大妖怪的力量相匹敌的强大光束。"
208,"花符「掌上之花」","快速冲向对手并从视野中消失。幽香接近对手后，就从手中发射出一道巨大的能量弹。这是一招极快的反击手段。"
209,"高能「强袭俯冲蹴」","进行一次俯冲飞蹴。幽香在这一击中注入了能量，所以极为强大。"
210,"阳伞「Unlimited Parasol」","幽香带着阳伞旋转冲向前方，在数次飞越屏幕的同时撞击对手。"
211,"阳伞「Parasol Flight」","将阳伞置于身边做技能发动的准备。在这个情况下幽香只要处于擦弹状态即可攻击对手。这个技能的判定不为弹幕所以难以闪避。"
212,"花咲「尤克特拉希尔」","召唤一颗吸收呑噬周围所有物质的巨树。一旦物质聚合完毕，巨树就将发射一道巨大的激光。"
213,"花符「Flower Spark」","召唤一朵在其生长完毕后将发射光束的花朵。虽然花朵很小，但绝不能轻视它射出的光束。"
214,"能源「光合反应」","进入能从周围汲取阳光力量的光合反应状态。在达到能量需求阈值后幽香将放出一个不可防御的冲击波。"
